,pe_e,pb_e,ps_e,pe_w,pb_w,ps_w,pe_m,pb_m,ps_m,pe_a,pb_a,ps_a,roe,dyr,cap,open,close,low,high,pre_close,volume,money
2014-04-15,48.65,4.22,5.65,47.13,4.36,5.39,55.53,5.06,8.98,39.32,4.41,6.62,9.25,0.43,6551.95,,,,,,,
2014-04-16,48.38,4.21,5.59,46.99,4.36,5.35,54.49,5.03,8.14,39.04,4.38,6.97,9.27,0.43,6537.49,,,,,,,
2014-04-17,48.54,4.23,5.59,47.11,4.37,5.36,54.65,4.99,8.2,39.31,4.39,6.99,9.29,0.43,6562.37,,,,,,,
2014-04-18,48.77,4.26,5.59,47.34,4.41,5.4,57.09,5.06,8.22,39.63,4.43,7.05,9.31,0.42,6599.27,,,,,,,
2014-04-21,48.12,4.2,5.51,46.77,4.35,5.33,55.84,4.91,7.97,39.02,4.35,6.93,9.3,0.43,6505.9,,,,,,,
2014-04-22,48.13,4.21,5.51,46.32,4.31,5.29,56.48,4.85,7.67,38.89,4.34,6.88,9.31,0.43,6448.33,,,,,,,
2014-04-23,47.61,4.16,5.46,45.69,4.25,5.22,55.15,4.81,7.69,38.41,4.27,7.19,9.31,0.44,6344.49,,,,,,,
2014-04-24,46.51,4.09,5.36,44.48,4.23,5.18,54.49,4.79,7.79,37.79,4.21,7.54,9.51,0.44,6304.36,,,,,,,
2014-04-25,44.55,3.97,5.15,42.65,4.12,5.0,52.05,4.78,7.54,36.23,4.11,7.61,9.67,0.46,6147.58,,,,,,,
2014-04-28,42.44,3.83,4.92,39.69,3.99,4.75,49.67,4.71,7.03,34.6,3.98,6.84,10.05,0.48,5936.97,,,,,,,
2014-04-29,43.49,3.88,4.96,40.75,4.05,4.82,49.92,4.75,7.11,33.83,4.04,6.92,9.94,0.47,6028.48,,,,,,,
2014-04-30,43.66,3.94,4.96,40.91,4.12,4.81,50.19,4.75,7.18,34.08,4.11,7.01,10.07,0.46,6135.26,,,,,,,
2014-05-05,44.04,3.98,5.01,41.31,4.16,4.86,50.06,4.78,7.23,34.33,4.14,7.07,10.07,0.45,6192.68,,,,,,,
2014-05-06,44.43,4.02,5.06,41.68,4.2,4.9,50.91,4.83,7.37,34.7,4.2,7.17,10.07,0.45,6246.39,,,,,,,
2014-05-07,43.37,3.91,4.94,40.72,4.1,4.79,50.71,4.78,7.2,33.87,4.1,6.99,10.07,0.46,6119.89,,,,,,,
2014-05-08,43.45,3.92,4.95,40.63,4.09,4.78,50.87,4.81,7.28,33.83,4.08,6.95,10.07,0.46,6105.35,,,,,,,
2014-05-09,42.77,3.86,4.88,40.1,4.04,4.72,49.84,4.71,7.18,35.39,4.02,6.81,10.07,0.48,5996.86,,,,,,,
2014-05-12,43.82,3.96,5.0,40.96,4.13,4.82,50.76,4.75,7.3,33.96,4.12,6.98,10.08,0.47,6128.33,,,,,,,
2014-05-13,43.89,3.97,5.01,41.2,4.15,4.85,50.81,4.78,7.31,34.01,4.13,6.99,10.07,0.46,6158.95,,,,,,,
2014-05-14,43.79,3.96,4.99,41.12,4.14,4.83,50.28,4.78,7.33,33.96,4.11,6.97,10.07,0.46,6146.29,,,,,,,
2014-05-15,43.02,3.88,4.9,40.44,4.08,4.76,49.53,4.75,7.33,33.46,4.03,6.86,10.08,0.47,6048.46,,,,,,,
2014-05-16,42.54,3.85,4.83,39.93,4.02,4.69,48.3,4.75,7.33,33.01,3.98,6.76,10.07,0.48,5963.86,,,,,,,
2014-05-19,42.85,3.87,4.87,40.04,4.03,4.7,48.08,4.75,7.33,33.13,4.0,6.81,10.06,0.48,5993.52,,,,,,,
2014-05-20,43.34,3.93,4.94,40.38,4.07,4.74,48.55,4.79,7.46,33.49,3.89,7.47,10.07,0.47,6079.06,,,,,,,
2014-05-21,43.6,3.96,4.96,40.59,4.09,4.77,49.65,4.86,7.64,33.74,3.92,7.53,10.07,0.48,6112.54,,,,,,,
2014-05-22,43.68,3.95,4.97,40.77,4.11,4.79,50.68,4.89,7.63,33.98,3.95,7.6,10.07,0.48,6136.91,,,,,,,
2014-05-23,44.41,4.03,5.06,41.58,4.19,4.88,51.02,5.04,7.9,34.72,4.04,7.8,10.07,0.48,6265.05,,,,,,,
2014-05-26,44.87,4.07,5.11,42.21,4.25,4.96,51.38,5.03,7.9,35.09,4.09,8.42,10.07,0.47,6366.28,,,,,,,
2014-05-27,44.49,4.03,5.06,41.71,4.2,4.9,51.37,5.01,7.93,34.88,4.06,7.83,10.07,0.48,6287.42,,,,,,,
2014-05-28,45.35,4.12,5.17,42.69,4.3,5.02,51.81,5.04,8.11,35.61,4.14,8.01,10.07,0.47,6425.35,,,,,,,
2014-05-29,44.78,4.05,5.12,41.84,4.21,4.92,50.82,5.02,8.14,35.02,4.07,7.82,10.07,0.48,6296.3,,,,,,,
2014-05-30,44.69,4.05,5.12,41.9,4.22,4.93,51.0,4.88,8.12,35.03,4.31,7.82,10.07,0.48,6296.88,,,,,,,
2014-06-03,44.71,4.05,5.11,42.05,4.24,4.94,52.25,4.86,8.02,35.05,4.08,8.35,10.07,0.48,6332.37,,,,,,,
2014-06-04,44.54,4.03,5.07,42.02,4.23,4.94,51.67,5.05,8.14,35.06,4.33,8.38,10.07,0.48,6338.82,,,,,,,
2014-06-05,46.08,4.17,5.21,43.45,4.38,5.11,52.75,5.08,8.12,36.06,4.22,8.68,10.07,0.47,6562.11,,,,,,,
2014-06-06,45.67,4.14,5.17,43.07,4.34,5.06,52.52,5.03,8.06,35.73,4.2,8.64,10.08,0.47,6495.45,,,,,,,
2014-06-09,45.34,4.11,5.13,42.86,4.31,4.99,51.36,4.91,7.93,35.22,4.39,8.55,10.06,0.47,6431.75,,,,,,,
2014-06-10,46.05,4.18,5.21,43.64,4.39,5.08,51.74,4.96,8.0,35.82,4.48,8.71,10.06,0.47,6546.85,,,,,,,
2014-06-11,46.25,4.2,5.24,43.74,4.4,5.09,51.98,4.96,8.04,36.03,4.48,8.73,10.06,0.47,6559.46,,,,,,,
