,name,type,start_date ,index_code,index_name
161907.SZ,万家红利,lof,2011-06-15,000922.SH,中证红利
510650.SH,金融行业,etf,2013-05-08,000038.SH,上证金融
512340.SH,500原料,etf,2015-06-04,000854.SH,500原料
510280.SH,成长ETF,etf,2011-10-18,000028.SH,180成长
159945.SZ,全指能源,etf,2015-07-06,000986.SH,全指能源
159942.SZ,中创100,etf,2015-06-25,399612.SZ,中创100
512100.SH,1000ETF,etf,2016-11-04,000852.SH,中证1000指数
159908.SZ,深F200,etf,2011-07-13,399703.SZ,深证F200
510070.SH,民企ETF,etf,2010-10-29,000049.SH,上证民企
510380.SH,国寿300,lof,2018-02-07,000300.SH,沪深300
162711.SZ,广发500L,lof,2010-01-08,399905.SZ,中证500
510520.SH,诺安500,etf,2014-03-10,000905.SH,中证500
159939.SZ,信息技术,etf,2015-02-05,000993.SH,全指信息
510660.SH,医药行业,etf,2013-05-08,000037.SH,上证医药
159903.SZ,深成ETF,etf,2010-02-02,399001.SZ,深证成指
159931.SZ,金融ETF,etf,2013-09-16,399934.SZ,中证金融地产指数
159955.SZ,创业板E,etf,2017-08-23,399006.SZ,创业板指
510220.SH,中小ETF,etf,2011-03-28,000046.SH,上证中小
