,pe_e,pb_e,ps_e,pe_w,pb_w,ps_w,pe_m,pb_m,ps_m,pe_a,pb_a,ps_a,roe,dyr,cap,open,close,low,high,pre_close,volume,money
2005-04-08,18.73,1.71,1.02,17.82,1.92,1.18,20.31,1.94,1.59,17.16,1.64,1.3,10.76,1.89,25478.53,984.665,1003.445,979.529,1003.699,984.73,1476252600.0,9151349808.0
2005-04-11,18.71,1.71,1.02,17.71,1.9,1.17,20.28,1.93,1.59,16.77,1.64,1.29,10.74,1.91,25287.72,1003.879,995.421,992.773,1008.735,1003.445,1593606600.0,10436232248.0
2005-04-12,18.31,1.67,1.0,17.29,1.87,1.15,19.92,1.89,1.55,16.22,1.62,1.28,10.81,1.94,24861.31,993.711,978.697,978.204,993.711,995.421,1022619300.0,6479563495.0
2005-04-13,18.87,1.72,1.03,17.82,1.91,1.18,20.32,1.95,1.61,16.54,1.66,1.29,10.73,1.89,25423.18,987.95,1000.9,987.95,1006.499,978.697,1607168700.0,10029602129.0
2005-04-14,18.57,1.69,1.01,17.54,1.89,1.15,19.92,1.93,1.6,16.41,1.63,1.29,10.75,1.91,25159.7,1004.64,986.975,985.578,1006.416,1000.9,1294571000.0,7813424514.0
2005-04-15,18.24,1.65,0.98,17.29,1.86,1.14,19.65,1.89,1.57,15.98,1.6,1.26,10.76,1.94,24836.17,982.613,974.082,971.93,982.613,986.975,1040895500.0,6541675456.0
2005-04-18,18.13,1.63,0.97,17.95,1.84,1.12,19.53,1.85,1.52,15.88,1.58,1.24,10.25,1.97,24482.89,970.907,963.772,958.649,970.907,974.082,859840000.0,5329138712.0
2005-04-19,18.2,1.64,0.97,18.06,1.84,1.12,19.96,1.86,1.51,16.01,1.58,1.24,10.22,1.96,24517.1,962.916,965.886,957.91,968.867,963.772,921262300.0,5768907755.0
2005-04-20,18.09,1.61,0.95,17.81,1.82,1.1,19.87,1.82,1.48,16.14,1.56,1.25,10.19,1.99,24233.93,964.151,950.867,946.197,964.151,965.886,885070500.0,5300003714.0
2005-04-21,17.91,1.58,0.93,17.71,1.82,1.1,19.58,1.8,1.44,16.03,1.54,1.23,10.27,1.99,24380.27,948.861,943.981,938.595,955.553,950.867,994614500.0,6140646108.0
2005-04-22,17.97,1.56,0.92,17.74,1.81,1.09,19.6,1.75,1.45,16.11,1.53,1.24,10.2,1.99,24344.97,942.908,939.101,934.957,947.909,943.981,1069188400.0,6373550345.0
2005-04-25,17.71,1.52,0.89,17.52,1.79,1.08,18.74,1.71,1.42,15.73,1.49,1.22,10.23,2.02,24169.92,935.993,930.07,920.162,935.993,939.101,1147047800.0,6667303132.0
2005-04-26,18.19,1.55,0.9,17.85,1.81,1.08,18.98,1.74,1.44,15.73,1.52,1.2,10.12,2.01,24246.49,928.428,937.083,924.655,939.696,930.07,1169047100.0,7029373085.0
