,pe_e,pb_e,ps_e,pe_w,pb_w,ps_w,pe_m,pb_m,ps_m,pe_a,pb_a,ps_a,roe,dyr,cap,open,close,low,high,pre_close,volume,money
2014-06-06,27.14,3.19,1.7,20.22,2.5,1.23,32.21,3.96,3.31,27.63,4.02,3.41,12.38,1.0,24673.43,5354.03,5328.32,5298.19,5354.29,,754007909.0,11755153674.0
2014-06-09,27.11,3.19,1.7,20.26,2.51,1.23,32.35,3.96,3.33,27.46,4.0,3.4,12.37,0.98,24737.2,5318.03,5311.37,5308.03,5355.42,5328.32,923662180.0,12762809560.0
2014-06-10,27.41,3.22,1.72,20.5,2.53,1.25,32.5,3.99,3.36,27.77,4.18,3.43,12.36,0.97,25041.74,5313.29,5366.74,5283.86,5367.39,5311.37,903224425.0,14229279262.0
2014-06-11,27.5,3.23,1.72,20.52,2.54,1.25,32.64,4.03,3.38,27.9,4.21,3.45,12.36,0.97,25051.4,5358.43,5391.79,5353.1,5396.98,5366.74,815796013.0,12872057335.0
2014-06-12,27.4,3.22,1.71,20.48,2.53,1.24,33.16,3.95,3.41,27.85,4.2,3.46,12.36,0.97,24983.76,5388.5,5397.59,5378.49,5419.62,5391.79,911268133.0,14291224380.0
2014-06-13,27.54,3.24,1.72,20.65,2.55,1.25,33.05,3.98,3.42,28.02,4.22,3.47,12.37,0.96,25205.75,5385.7,5423.95,5377.04,5430.09,5397.59,916607259.0,14417365675.0
2014-06-16,27.2,3.41,1.62,21.02,2.62,1.25,33.54,4.33,4.0,25.01,4.29,3.78,12.46,0.92,25876.78,5422.63,5436.35,5410.55,5445.07,5423.95,1006357299.0,15252264126.0
2014-06-17,26.96,3.37,1.6,20.79,2.59,1.23,32.73,4.24,3.93,24.75,4.26,3.74,12.48,0.94,25592.28,5435.77,5386.07,5386.03,5436.08,5436.35,833372615.0,13845749803.0
2014-06-18,26.77,3.35,1.59,20.64,2.57,1.22,32.72,4.24,3.92,24.6,4.24,3.72,12.47,0.94,25391.41,5386.07,5347.98,5344.56,5395.46,5386.07,828058411.0,12827782699.0
2014-06-19,26.22,3.27,1.56,20.29,2.53,1.2,32.47,4.06,3.83,24.92,4.01,3.64,12.48,0.97,24950.35,5354.33,5230.46,5206.18,5368.0,5347.98,891748451.0,13311092300.0
2014-06-20,26.35,3.29,1.57,20.4,2.54,1.21,32.34,4.06,3.84,25.04,4.03,3.65,12.47,0.97,25087.19,5230.21,5253.68,5205.65,5260.81,5230.46,703367379.0,10233452703.0
2014-06-23,26.47,3.31,1.57,20.38,2.54,1.2,32.34,4.1,3.85,24.32,4.06,3.69,12.48,0.98,25082.59,5264.62,5296.79,5258.86,5317.35,5253.68,690403831.0,11178423662.0
2014-06-24,26.73,3.34,1.58,20.54,2.56,1.21,32.77,4.05,3.91,24.53,4.1,3.71,12.48,0.98,25268.52,5302.8,5341.67,5302.8,5342.95,5296.79,735825668.0,11484592556.0
2014-06-25,26.63,3.33,1.58,20.4,2.54,1.21,32.84,4.0,3.92,24.46,4.08,3.69,12.47,1.16,25070.25,5334.86,5324.55,5292.45,5334.86,5341.67,728233756.0,11156547019.0
2014-06-26,26.9,3.36,1.59,20.55,2.56,1.21,32.81,4.04,3.96,24.69,4.12,3.73,12.46,1.16,25263.95,5323.42,5379.83,5321.98,5387.08,5324.55,773880108.0,12072313690.0
2014-06-27,26.93,3.36,1.59,20.49,2.56,1.21,32.94,4.07,4.01,24.78,4.14,3.73,12.47,1.25,25169.71,5378.64,5385.81,5362.1,5413.0,5379.83,881080938.0,13540262276.0
2014-06-30,27.16,3.32,1.61,20.65,2.48,1.22,33.17,4.3,4.03,24.99,4.07,3.76,12.01,1.24,25358.78,5387.93,5423.58,5375.6,5423.58,5385.81,854374586.0,13402300003.0
