,name
600036.XSHG,招商银行
600000.XSHG,浦发银行
600926.XSHG,杭州银行
002142.XSHE,宁波银行
601939.XSHG,建设银行
601128.XSHG,常熟银行
600016.XSHG,民生银行
601288.XSHG,农业银行
601818.XSHG,光大银行
601997.XSHG,贵阳银行
601166.XSHG,兴业银行
000001.XSHE,平安银行
600015.XSHG,华夏银行
603323.XSHG,吴江银行
601229.XSHG,上海银行
002807.XSHE,江阴银行
600919.XSHG,江苏银行
600908.XSHG,无锡银行
601169.XSHG,北京银行
601988.XSHG,中国银行
601398.XSHG,工商银行
601998.XSHG,中信银行
601009.XSHG,南京银行
