,open,close,high,low,volume,money,change,pe,pb,cap,dyr,roe
2014-02-21,2069.85,2049.03,2076.96,2037.83,94562.0,623122.0,-1.01,4.97,0.95,,4.66,5.23
2014-02-24,2031.78,1994.13,2031.78,1983.27,128912.0,827568.0,-2.68,4.84,0.92,33557.32,4.79,5.26
2014-02-25,1994.3,1969.95,2007.3,1964.31,109293.0,679450.0,-1.21,4.78,0.91,33323.72,4.85,5.25
2014-02-26,1960.4,1976.77,1986.42,1960.39,85411.0,511966.0,0.35,4.79,0.91,33282.01,4.83,5.26
2014-02-27,1981.19,2005.24,2020.41,1963.1,133528.0,834441.0,1.44,4.86,0.93,33607.0,4.77,5.23
2014-02-28,1993.33,1993.5,2007.53,1967.79,94285.0,580608.0,-0.59,4.83,0.92,33405.09,4.79,5.25
2014-03-03,1984.57,1979.15,1985.43,1971.98,96666.0,573091.0,-0.72,4.8,0.91,33227.67,4.83,5.27
2014-03-04,1971.99,1992.31,1999.99,1956.78,97494.0,608808.0,0.66,4.83,0.92,33307.22,4.8,5.25
2014-03-05,1991.76,1963.5,1994.88,1962.08,75169.0,478570.0,-1.45,4.76,0.91,33000.56,4.87,5.23
2014-03-06,1961.61,1982.85,1993.77,1953.67,105562.0,621486.0,0.99,4.81,0.92,33113.77,4.82,5.23
2014-03-07,1979.9,1976.56,2007.48,1971.61,96493.0,585510.0,-0.32,4.79,0.91,33079.81,4.83,5.26
2014-03-10,1963.95,1917.13,1964.71,1915.41,109223.0,659005.0,-3.01,4.64,0.88,32369.8,5.01,5.27
2014-03-11,1914.61,1917.14,1931.55,1907.41,78753.0,458713.0,0.0,4.64,0.88,32323.87,5.01,5.27
2014-03-12,1915.34,1940.9,1955.71,1907.68,115248.0,689911.0,1.24,4.7,0.9,32603.99,4.94,5.22
2014-03-13,1958.62,1968.8,2009.08,1949.39,155334.0,866575.0,1.44,4.77,0.91,33096.45,4.87,5.24
2014-03-14,1957.95,1951.89,1973.86,1934.36,116837.0,671224.0,-0.86,4.72,0.9,32751.56,4.95,5.24
2014-03-17,1960.91,1952.78,1964.12,1939.24,69085.0,355307.0,0.05,4.72,0.9,32665.3,4.95,5.24
2014-03-18,1958.84,1939.84,1959.15,1936.0,81896.0,512378.0,-0.66,4.69,0.9,32623.57,4.98,5.21
2014-03-19,1931.6,1929.54,1931.6,1908.76,69185.0,415185.0,-0.53,4.66,0.89,32575.87,5.01,5.24
2014-03-20,1923.09,1920.96,1952.37,1920.15,88540.0,548066.0,-0.44,4.6,0.88,32457.51,5.03,5.23
2014-03-21,1916.5,2016.34,2022.49,1916.5,247829.0,1621372.0,4.97,4.83,0.93,33604.89,4.8,5.19
2014-03-24,2022.25,2027.42,2042.24,2012.0,211059.0,1428737.0,0.55,4.86,0.93,33808.98,4.77,5.23
2014-03-25,2022.95,2007.74,2028.77,2001.55,99114.0,666723.0,-0.97,4.81,0.92,33596.21,4.82,5.23
