,open,close,high,low,volume,money,change,pe,pb,cap,dyr,roe
1999-12-30,1000.0,1000.0,1000.0,1000.0,1041.0,8740.0,0.0,37.02,3.65,126.74,,10.14
2000-01-04,1001.82,1029.82,1036.06,989.75,1560.0,13095.0,2.98,37.71,3.56,130.57,0.39,10.59
2000-01-05,1028.39,1032.6,1066.16,1015.6,2416.0,19918.0,0.27,37.65,3.56,130.91,0.47,10.58
2000-01-06,1028.45,1071.66,1079.77,1017.04,2868.0,23754.0,3.78,39.17,3.7,135.89,0.45,10.59
2000-01-07,1077.92,1116.23,1131.29,1067.68,7005.0,61914.0,4.16,41.23,3.74,143.28,0.43,11.02
2000-01-10,1152.61,1178.55,1194.69,1130.51,10084.0,95953.0,5.58,43.78,3.95,151.32,0.41,11.08
2000-01-11,1185.33,1115.6,1204.64,1097.63,7079.0,68791.0,-5.34,41.26,3.73,143.27,0.43,11.06
2000-01-12,1110.34,1083.88,1138.84,1073.64,3719.0,35516.0,-2.84,40.11,3.62,139.13,0.44,11.08
2000-01-13,1079.17,1074.29,1104.55,1059.64,1982.0,17261.0,-0.88,39.69,3.59,137.91,0.45,11.06
2000-01-14,1077.67,1060.16,1094.1,1050.45,1642.0,14438.0,-1.31,39.12,3.54,136.04,0.45,11.05
2000-01-17,1059.92,1088.92,1098.71,1047.77,2477.0,24154.0,2.71,40.12,3.63,139.66,0.44,11.05
2000-01-18,1092.65,1083.01,1110.72,1065.9,2698.0,23291.0,-0.54,39.85,3.62,138.99,0.44,11.01
2000-01-19,1080.81,1089.33,1109.84,1066.52,1981.0,17055.0,0.58,40.07,3.64,139.77,0.44,11.01
2000-01-20,1092.25,1119.08,1131.76,1078.12,4058.0,35546.0,2.73,41.13,3.73,143.58,0.38,11.03
2000-01-21,1123.13,1111.1,1150.9,1093.25,5119.0,50515.0,-0.71,40.83,3.7,142.44,0.37,11.04
2000-01-24,1110.32,1126.48,1146.68,1080.86,5299.0,54115.0,1.38,39.19,3.68,151.7,0.35,10.65
2000-01-25,1130.07,1131.02,1162.86,1101.39,4492.0,44359.0,0.4,39.23,3.7,152.39,0.35,10.6
2000-01-26,1134.0,1134.4,1156.84,1112.44,2976.0,32387.0,0.3,39.19,3.71,152.87,0.35,10.56
2000-01-27,1147.72,1149.17,1180.11,1118.01,6222.0,80288.0,1.3,43.46,3.85,178.22,0.35,11.29
2000-01-28,1153.1,1168.21,1197.13,1128.89,5913.0,80364.0,1.66,44.14,3.91,181.1,0.34,11.29
2000-02-14,1210.65,1274.65,1277.89,1180.33,7722.0,95613.0,9.11,48.23,4.26,197.58,0.31,11.32
2000-02-15,1306.14,1273.18,1350.63,1240.62,10440.0,130591.0,-0.12,48.03,4.22,197.15,0.31,11.38
2000-02-16,1273.75,1282.95,1329.85,1231.8,10250.0,129964.0,0.77,48.4,4.24,198.45,0.31,11.42
2000-02-17,1306.5,1209.91,1352.13,1188.66,11012.0,139953.0,-5.69,45.91,4.03,187.26,0.33,11.39
2000-02-18,1180.63,1218.87,1251.75,1150.98,5569.0,75555.0,0.74,46.38,4.06,188.56,0.33,11.42
2000-02-21,1226.0,1224.73,1264.02,1183.79,6717.0,86983.0,0.48,46.69,4.1,189.25,0.31,11.39
2000-02-22,1239.22,1181.78,1263.05,1170.31,5715.0,73369.0,-3.51,44.77,3.95,182.69,0.32,11.33
2000-02-23,1165.6,1164.12,1199.45,1143.35,3878.0,49722.0,-1.49,43.9,3.89,180.16,0.32,11.29
2000-02-24,1170.05,1187.91,1203.82,1151.76,5093.0,53337.0,2.04,44.83,3.97,183.81,0.32,11.29
2000-02-25,1187.93,1169.29,1197.77,1155.0,3829.0,41606.0,-1.57,43.93,3.9,180.95,0.32,11.26
2000-02-28,1169.87,1209.1,1218.39,1149.78,4645.0,55684.0,3.41,44.99,3.77,196.45,0.31,11.93
2000-02-29,1235.71,1213.31,1255.73,1181.41,7399.0,93452.0,0.35,45.07,3.79,196.96,0.31,11.89
2000-03-01,1223.46,1229.49,1253.65,1197.8,6820.0,73676.0,1.33,45.7,3.85,199.02,0.31,11.87
2000-03-02,1238.67,1229.18,1271.91,1198.71,7926.0,86552.0,-0.02,45.7,3.84,199.66,0.31,11.9
2000-03-03,1238.31,1249.45,1277.18,1210.83,8142.0,89223.0,1.65,46.59,3.9,203.02,0.3,11.95
2000-03-06,1265.28,1214.54,1302.77,1203.85,8906.0,98594.0,-2.79,45.4,3.8,197.52,0.31,11.95
2000-03-07,1197.74,1225.84,1241.49,1179.85,4822.0,51624.0,0.93,45.98,4.08,199.28,0.31,11.27
2000-03-08,1232.8,1242.33,1264.78,1206.61,5341.0,61107.0,1.35,46.58,4.13,201.99,0.3,11.28
2000-03-09,1248.72,1232.44,1266.23,1216.03,4407.0,47416.0,-0.8,45.82,4.08,199.25,0.31,11.23
2000-03-10,1232.35,1211.32,1249.43,1199.26,4330.0,43301.0,-1.71,44.9,4.0,195.87,0.31,11.22
2000-03-13,1205.79,1231.01,1242.81,1193.65,5107.0,50045.0,1.63,46.15,4.04,201.36,0.3,11.42
2000-03-14,1219.46,1209.67,1238.0,1166.53,6462.0,63618.0,-1.73,45.43,3.97,197.77,0.31,11.44
2000-03-15,1210.75,1220.61,1243.61,1199.26,4444.0,44355.0,0.9,45.89,4.01,199.54,0.31,11.44
2000-03-16,1211.43,1164.72,1224.33,1150.83,3996.0,40791.0,-4.58,43.82,3.82,190.4,0.32,11.47
2000-03-17,1161.34,1195.14,1207.33,1154.51,3579.0,39994.0,2.61,45.0,3.92,195.39,0.31,11.48
2000-03-20,1185.3,1245.7,1256.6,1170.98,7035.0,88564.0,4.23,47.42,4.1,206.29,0.3,11.57
2000-03-21,1248.78,1255.98,1288.49,1224.49,8641.0,95388.0,0.82,47.85,4.15,208.06,0.29,11.53
2000-03-22,1257.71,1259.59,1289.79,1233.7,5800.0,62812.0,0.29,47.79,4.15,208.66,0.29,11.52
2000-03-23,1264.25,1286.76,1302.94,1248.14,6786.0,81352.0,2.16,48.83,4.23,212.86,0.29,11.54
2000-03-24,1304.72,1281.59,1334.92,1266.47,9890.0,116633.0,-0.4,48.73,4.22,211.77,0.29,11.55
2000-03-27,1286.57,1318.67,1330.73,1273.23,7777.0,85961.0,2.89,50.32,4.35,217.9,0.28,11.57
2000-03-28,1329.94,1335.49,1362.85,1304.98,8881.0,96693.0,1.28,50.88,4.41,220.83,0.28,11.54
2000-03-29,1338.96,1319.11,1360.87,1284.77,7084.0,80054.0,-1.23,50.07,4.35,218.17,0.28,11.51
2000-03-30,1320.53,1343.96,1359.08,1305.9,7367.0,83397.0,1.88,50.93,4.43,222.27,0.28,11.5
2000-03-31,1339.28,1333.83,1367.71,1307.65,8261.0,94795.0,-0.75,50.55,4.47,220.67,0.28,11.31
2000-04-03,1347.23,1340.0,1387.09,1318.41,8716.0,97699.0,0.46,50.92,4.52,221.65,0.28,11.27
2000-04-04,1332.3,1305.0,1348.26,1290.37,5854.0,65407.0,-2.61,49.61,4.4,215.7,0.28,11.27
2000-04-05,1301.93,1322.83,1346.17,1285.33,5973.0,66613.0,1.37,50.2,4.45,218.54,0.28,11.28
2000-04-06,1328.07,1351.91,1366.17,1310.86,7287.0,80303.0,2.2,51.52,4.57,223.38,0.27,11.27
2000-04-07,1356.18,1350.27,1376.49,1328.45,6291.0,70182.0,-0.12,51.62,4.57,223.24,0.27,11.3
2000-04-10,1356.7,1358.25,1384.62,1332.66,9467.0,101639.0,0.59,52.01,4.6,224.69,0.27,11.31
2000-04-11,1358.26,1355.34,1388.18,1332.49,5715.0,65070.0,-0.21,51.77,4.58,224.15,0.27,11.3
2000-04-12,1352.11,1344.69,1371.72,1317.84,4283.0,48166.0,-0.79,52.09,4.51,226.76,0.27,11.55
2000-04-13,1346.62,1359.82,1381.72,1334.79,5780.0,65293.0,1.13,52.75,4.56,229.31,0.27,11.57
2000-04-14,1366.22,1347.88,1376.47,1334.82,4699.0,51719.0,-0.88,52.19,4.52,227.3,0.27,11.55
2000-04-17,1347.05,1310.94,1354.51,1297.1,5211.0,55908.0,-2.74,50.74,4.39,221.07,0.28,11.56
2000-04-18,1331.47,1315.82,1346.67,1294.15,1131.0,13525.0,0.37,47.99,4.16,62.7,1.04,11.54
2000-04-19,1328.28,1338.6,1355.81,1316.11,3785.0,43895.0,1.73,51.93,4.48,225.73,0.27,11.59
2000-04-20,1346.66,1354.77,1377.32,1328.76,4596.0,52215.0,1.21,52.54,4.75,228.46,0.25,11.06
2000-04-21,1366.81,1351.0,1388.37,1335.97,6039.0,69309.0,-0.28,52.38,4.74,227.82,0.25,11.05
2000-04-24,1351.8,1357.53,1381.07,1327.73,6404.0,70789.0,0.48,52.82,4.77,228.92,0.25,11.07
2000-04-25,1361.61,1346.18,1376.11,1330.67,4278.0,47434.0,-0.84,52.47,4.72,228.97,0.25,11.12
2000-04-26,1351.42,1346.03,1379.73,1329.77,3755.0,45308.0,-0.01,52.35,4.71,228.95,0.25,11.11
2000-04-27,1346.64,1323.02,1363.55,1312.64,3914.0,49292.0,-1.71,51.37,4.81,239.77,0.25,10.68
2000-04-28,1324.62,1350.55,1366.02,1308.72,3426.0,61255.0,2.08,51.68,4.86,242.9,0.29,10.63
2000-05-08,1356.66,1356.76,1383.96,1328.11,3132.0,57222.0,0.46,46.49,4.92,245.8,0.28,9.45
2000-05-09,1350.54,1339.02,1377.13,1318.71,2682.0,46489.0,-1.31,45.87,4.86,242.59,0.29,9.44
2000-05-10,1327.9,1276.23,1335.61,1271.64,2964.0,43195.0,-4.69,43.7,4.63,231.21,0.3,9.44
2000-05-11,1268.2,1246.1,1293.5,1240.89,2584.0,36422.0,-2.36,42.63,4.51,225.75,0.31,9.45
2000-05-12,1248.11,1246.47,1271.95,1233.97,2060.0,28138.0,0.03,42.62,4.51,225.82,0.31,9.45
2000-05-15,1248.76,1229.73,1262.53,1215.45,1928.0,24839.0,-1.34,42.02,4.45,222.79,0.31,9.44
2000-05-16,1230.61,1249.02,1260.02,1226.99,1409.0,16988.0,1.57,42.68,4.52,226.28,0.31,9.44
2000-05-17,1253.19,1250.15,1275.28,1238.04,1472.0,19258.0,0.09,42.72,4.52,226.48,0.31,9.45
2000-05-18,1252.49,1277.18,1281.6,1239.08,1744.0,25685.0,2.16,43.54,4.61,230.8,0.3,9.44
2000-05-19,1283.02,1293.26,1306.26,1267.02,2436.0,33089.0,1.26,44.09,4.67,233.7,0.24,9.44
2000-05-22,1300.03,1328.59,1344.68,1289.14,3522.0,47244.0,2.73,45.28,4.79,239.83,0.33,9.45
2000-05-23,1330.3,1325.18,1351.23,1304.42,2572.0,34378.0,-0.26,45.2,4.79,239.23,0.33,9.44
2000-05-24,1328.54,1342.19,1365.93,1315.11,3937.0,51695.0,1.28,45.92,4.86,242.29,0.33,9.45
2000-05-25,1353.83,1365.36,1380.26,1335.82,4838.0,60971.0,1.73,46.74,4.95,246.46,0.32,9.44
2000-05-26,1371.11,1360.87,1395.4,1345.64,5573.0,65816.0,-0.33,45.36,4.8,239.19,0.39,9.45
2000-05-29,1366.08,1388.42,1404.38,1353.37,6131.0,75452.0,2.02,47.43,5.02,250.42,0.35,9.45
2000-05-30,1393.85,1367.66,1417.53,1354.42,5398.0,70756.0,-1.5,46.75,4.95,246.73,0.36,9.44
2000-05-31,1361.9,1373.59,1392.18,1347.48,3362.0,42007.0,0.43,46.93,4.97,247.66,0.41,9.44
2000-06-01,1381.49,1370.01,1394.98,1354.45,3351.0,41296.0,-0.26,46.84,4.96,246.99,0.41,9.44
2000-06-02,1371.57,1401.74,1416.07,1354.7,5541.0,89435.0,2.32,48.04,5.09,252.71,0.4,9.44
2000-06-05,1408.91,1395.67,1443.05,1374.32,8584.0,118770.0,-0.43,49.74,5.12,266.75,0.39,9.71
2000-06-06,1391.59,1420.88,1431.69,1378.31,4985.0,81654.0,1.81,50.61,5.21,271.55,0.38,9.71
2000-06-07,1428.48,1415.54,1443.18,1401.78,3852.0,53009.0,-0.38,50.48,5.19,270.54,0.38,9.73
2000-06-08,1416.82,1402.81,1429.07,1381.67,3939.0,62950.0,-0.9,50.06,5.15,267.92,0.47,9.72
2000-06-09,1400.53,1388.91,1427.32,1370.82,4996.0,65557.0,-0.99,49.44,5.09,265.15,0.47,9.71
2000-06-12,1380.71,1397.17,1410.62,1356.94,3436.0,48346.0,0.59,49.71,5.11,266.74,0.47,9.73
2000-06-13,1409.4,1419.54,1438.58,1390.3,5286.0,67820.0,1.6,50.5,5.2,270.96,0.46,9.71
2000-06-14,1421.38,1408.45,1442.72,1395.84,5024.0,61871.0,-0.78,50.08,5.15,268.77,0.46,9.72
2000-06-15,1408.13,1415.77,1428.04,1393.11,3822.0,50283.0,0.52,50.33,5.18,269.9,0.57,9.72
2000-06-16,1420.36,1420.97,1456.0,1407.11,6503.0,79547.0,0.37,50.48,5.19,270.86,0.57,9.73
2000-06-19,1421.38,1420.54,1450.33,1402.59,4568.0,56941.0,-0.03,50.43,5.19,270.71,0.57,9.72
2000-06-20,1416.93,1401.78,1436.2,1386.85,3336.0,39166.0,-1.32,49.77,5.12,267.24,0.57,9.72
2000-06-21,1400.6,1424.66,1438.51,1386.52,3563.0,47306.0,1.63,50.58,5.2,271.63,0.56,9.73
2000-06-22,1426.91,1411.41,1439.85,1404.08,2912.0,36332.0,-0.93,50.12,5.16,269.15,0.57,9.71
2000-06-23,1411.95,1432.81,1445.23,1398.45,4354.0,57554.0,1.52,50.87,5.23,273.27,0.56,9.73
2000-06-26,1448.18,1467.14,1485.23,1432.61,7288.0,91719.0,2.4,50.1,5.28,293.23,0.46,9.49
2000-06-27,1471.75,1469.99,1491.94,1449.46,6764.0,81230.0,0.19,50.19,5.29,293.62,0.46,9.49
2000-06-28,1468.73,1485.76,1501.78,1453.24,5379.0,71388.0,1.07,50.75,5.35,296.9,0.45,9.49
2000-06-29,1488.51,1484.35,1508.16,1462.73,6807.0,89687.0,-0.09,50.71,5.35,296.33,0.45,9.48
2000-06-30,1483.58,1472.79,1509.81,1458.25,6350.0,82515.0,-0.78,50.25,5.3,294.03,0.45,9.48
2000-07-03,1460.45,1453.61,1488.8,1429.98,6449.0,75990.0,-1.3,49.65,5.23,290.3,0.46,9.49
2000-07-04,1448.57,1466.2,1475.42,1432.47,3464.0,41973.0,0.87,50.11,5.28,292.78,0.46,9.49
2000-07-05,1468.58,1468.17,1495.61,1451.31,4505.0,52292.0,0.13,50.18,5.29,293.08,0.46,9.49
2000-07-06,1466.98,1472.6,1491.8,1451.09,3917.0,46998.0,0.3,50.39,5.31,294.09,0.45,9.49
2000-07-07,1474.13,1491.44,1505.46,1466.29,4469.0,54721.0,1.28,51.03,5.38,297.81,0.45,9.49
2000-07-10,1492.83,1514.61,1535.96,1479.83,7113.0,89472.0,1.55,52.09,5.15,308.04,0.43,10.11
2000-07-11,1519.32,1513.06,1541.88,1490.78,5824.0,73310.0,-0.1,51.96,5.14,307.72,0.43,10.11
2000-07-12,1516.28,1518.07,1544.11,1493.93,5404.0,65281.0,0.33,52.16,5.16,308.74,0.43,10.11
2000-07-13,1521.47,1530.61,1565.41,1498.55,7299.0,97611.0,0.83,52.51,5.2,311.29,0.43,10.1
2000-07-14,1531.37,1533.98,1553.77,1506.67,4785.0,64293.0,0.22,52.64,5.21,311.98,0.43,10.1
2000-07-17,1536.63,1527.93,1565.66,1511.92,4906.0,66273.0,-0.39,52.43,5.19,310.74,0.43,10.1
2000-07-18,1546.9,1538.06,1569.88,1519.63,6140.0,89215.0,0.66,52.74,5.14,312.49,0.53,10.26
2000-07-19,1542.72,1536.99,1563.07,1518.85,4998.0,64630.0,-0.07,52.69,5.14,312.27,0.52,10.25
2000-07-20,1537.29,1529.16,1550.98,1510.92,4105.0,52340.0,-0.51,52.39,5.09,310.68,0.52,10.29
2000-07-21,1531.58,1530.75,1552.13,1515.97,3330.0,42545.0,0.1,52.47,5.09,311.0,0.52,10.31
2000-07-24,1528.23,1525.25,1545.21,1504.84,3110.0,39979.0,-0.36,52.31,5.08,309.89,0.5,10.3
2000-07-25,1526.38,1526.85,1546.54,1510.68,2428.0,31414.0,0.11,52.4,5.07,310.21,0.5,10.34
2000-07-26,1535.82,1537.67,1554.64,1519.16,3665.0,46863.0,0.71,52.85,5.05,319.97,0.5,10.47
2000-07-27,1540.74,1534.91,1560.2,1517.64,4388.0,53537.0,-0.18,52.82,5.05,319.39,0.5,10.46
2000-07-28,1535.48,1535.57,1557.34,1517.69,4990.0,60499.0,0.04,52.87,5.04,319.53,0.5,10.49
2000-07-31,1538.01,1552.48,1566.37,1523.27,5939.0,74731.0,1.1,53.42,5.09,323.05,0.49,10.5
2000-08-01,1557.75,1550.27,1573.56,1537.05,4476.0,53970.0,-0.14,53.37,5.09,322.59,0.49,10.49
2000-08-02,1551.26,1563.76,1578.86,1534.81,4793.0,74558.0,0.87,53.81,5.13,325.4,0.49,10.49
2000-08-03,1567.38,1568.13,1591.92,1547.14,5336.0,70471.0,0.28,53.87,5.13,325.74,0.49,10.5
2000-08-04,1569.47,1557.23,1589.14,1534.45,6786.0,91822.0,-0.69,53.42,5.08,323.49,0.49,10.52
2000-08-07,1552.84,1552.57,1569.56,1528.06,5925.0,75500.0,-0.3,53.32,5.07,322.55,0.49,10.52
2000-08-08,1554.86,1569.22,1583.93,1540.18,4383.0,57957.0,1.07,53.89,5.1,326.01,0.49,10.57
2000-08-09,1570.99,1573.49,1596.64,1549.64,4852.0,70270.0,0.27,54.09,5.02,326.91,0.49,10.77
2000-08-10,1568.34,1591.45,1609.53,1551.89,5468.0,91566.0,1.14,54.64,5.07,330.63,0.48,10.78
2000-08-11,1593.05,1588.32,1615.06,1573.36,4645.0,66949.0,-0.2,54.5,5.06,330.0,0.48,10.77
2000-08-14,1594.19,1607.11,1621.89,1577.22,6428.0,89787.0,1.18,55.17,5.12,333.94,0.42,10.78
2000-08-15,1611.95,1614.32,1634.61,1594.66,5299.0,71474.0,0.45,55.42,5.13,335.41,0.42,10.8
2000-08-16,1624.03,1614.9,1638.95,1597.85,6396.0,89075.0,0.04,55.44,5.26,335.56,0.42,10.54
2000-08-17,1616.97,1620.46,1636.91,1600.81,5788.0,77486.0,0.34,55.6,5.27,336.69,0.42,10.55
2000-08-18,1623.3,1624.82,1644.67,1607.85,5805.0,74143.0,0.27,55.78,5.26,337.6,0.42,10.6
2000-08-21,1631.74,1643.16,1653.99,1611.29,10728.0,135417.0,1.13,56.53,5.33,341.38,0.41,10.61
2000-08-22,1649.22,1612.08,1668.68,1603.23,7417.0,99546.0,-1.89,55.39,5.34,334.95,0.42,10.37
2000-08-23,1602.48,1611.52,1635.45,1526.86,11406.0,152478.0,-0.04,55.29,5.33,334.37,0.42,10.37
2000-08-24,1612.53,1629.45,1647.36,1592.8,8283.0,115231.0,1.11,56.0,5.4,338.13,0.42,10.37
2000-08-25,1631.81,1634.2,1648.41,1613.58,4447.0,62247.0,0.29,56.17,5.42,339.1,0.41,10.36
2000-08-28,1638.17,1643.81,1657.51,1621.14,5103.0,74868.0,0.59,53.62,5.17,323.02,0.44,10.37
2000-08-29,1645.09,1644.02,1665.65,1623.29,5215.0,72529.0,0.01,56.56,5.45,341.12,0.41,10.38
2000-08-30,1642.36,1617.52,1653.45,1608.43,3814.0,52554.0,-1.61,55.76,5.38,335.6,0.42,10.36
2000-08-31,1605.77,1565.02,1615.1,1556.01,5055.0,68918.0,-3.25,53.9,5.2,324.74,0.43,10.37
2000-09-01,1551.75,1542.18,1576.31,1532.65,3893.0,54668.0,-1.46,40.6,5.11,320.0,0.44,7.95
2000-09-04,1536.29,1560.77,1569.47,1518.15,3184.0,40313.0,1.2,41.17,5.19,323.93,0.43,7.93
2000-09-05,1565.18,1529.26,1581.49,1514.76,3340.0,45198.0,-2.02,40.32,5.08,317.38,0.44,7.94
2000-09-06,1516.61,1492.36,1542.45,1482.46,3099.0,39264.0,-2.41,39.36,4.96,309.87,0.45,7.94
2000-09-07,1496.94,1516.24,1536.93,1493.77,2019.0,26293.0,1.6,39.99,5.04,314.76,0.45,7.93
2000-09-08,1519.3,1527.47,1541.65,1504.69,2325.0,29966.0,0.74,40.4,5.09,317.12,0.44,7.94
2000-09-11,1530.89,1554.82,1563.95,1511.14,2702.0,49719.0,1.79,41.06,5.17,322.81,0.43,7.94
2000-09-12,1556.38,1560.5,1571.07,1533.54,2143.0,36951.0,0.37,41.38,5.13,325.99,0.43,8.07
2000-09-13,1560.75,1566.77,1581.34,1545.46,2822.0,47853.0,0.4,41.55,5.16,327.3,0.43,8.05
2000-09-14,1566.23,1571.26,1598.15,1548.95,3046.0,47398.0,0.29,41.66,5.17,328.22,0.43,8.06
2000-09-15,1569.7,1578.94,1597.03,1553.24,3096.0,49711.0,0.49,41.83,5.19,329.74,0.43,8.06
2000-09-18,1578.25,1556.91,1594.73,1547.86,2286.0,37420.0,-1.4,41.29,5.12,325.19,0.43,8.06
2000-09-19,1543.55,1520.67,1554.23,1501.55,2698.0,40465.0,-2.33,40.37,5.01,317.92,0.44,8.06
2000-09-20,1520.35,1538.01,1548.85,1500.97,2054.0,33318.0,1.14,40.8,5.06,321.52,0.44,8.06
2000-09-21,1542.1,1529.11,1559.92,1518.36,1717.0,28940.0,-0.58,40.48,5.02,319.69,0.44,8.06
2000-09-22,1528.88,1520.08,1547.29,1503.15,1873.0,31215.0,-0.59,40.2,4.99,317.79,0.44,8.06
2000-09-25,1517.51,1502.78,1533.25,1491.62,1687.0,25074.0,-1.14,39.72,4.93,314.2,0.45,8.06
2000-09-26,1507.67,1523.23,1539.69,1499.92,1578.0,30513.0,1.36,40.25,4.99,318.48,0.44,8.07
2000-09-27,1528.07,1537.72,1547.64,1510.89,1128.0,20319.0,0.95,39.64,4.92,313.52,0.53,8.06
2000-09-28,1542.19,1520.23,1554.24,1508.71,1506.0,24764.0,-1.14,40.15,4.98,317.54,0.53,8.06
2000-09-29,1521.63,1531.47,1551.41,1506.08,1733.0,39850.0,0.74,40.47,5.02,319.86,0.52,8.06
2000-10-09,1539.9,1539.42,1563.37,1508.83,2329.0,37350.0,0.52,40.68,5.04,321.29,0.52,8.07
2000-10-10,1544.1,1558.79,1570.26,1524.25,3868.0,52766.0,1.26,41.18,5.11,325.28,0.51,8.06
2000-10-11,1561.63,1549.31,1576.62,1533.86,2701.0,37085.0,-0.61,41.13,5.02,326.06,0.51,8.19
2000-10-12,1552.28,1534.98,1560.76,1521.39,2493.0,32301.0,-0.92,40.72,4.97,323.04,0.52,8.19
2000-10-13,1534.44,1525.79,1550.52,1514.22,2190.0,30690.0,-0.6,40.52,4.94,321.11,0.52,8.2
2000-10-16,1524.18,1510.7,1538.14,1494.92,1984.0,25001.0,-0.99,40.11,4.89,317.94,0.53,8.2
2000-10-17,1509.51,1525.82,1535.81,1497.88,1514.0,24012.0,1.0,40.49,4.94,321.12,0.52,8.2
2000-10-18,1526.92,1548.1,1556.99,1518.6,1894.0,32089.0,1.46,41.06,5.01,325.81,0.51,8.2
2000-10-19,1550.19,1546.3,1568.04,1527.79,1962.0,28336.0,-0.12,41.01,5.0,325.43,0.51,8.2
2000-10-20,1546.45,1582.24,1593.25,1533.72,3281.0,65561.0,2.32,41.94,5.12,332.99,0.5,8.19
