,pe_e,pb_e,ps_e,pe_w,pb_w,ps_w,pe_m,pb_m,ps_m,pe_a,pb_a,ps_a,roe,dyr,cap,open,close,low,high,pre_close,volume,money
2014-11-28,48.16,3.72,2.02,44.48,3.83,2.02,39.58,4.18,3.45,34.9,3.39,2.46,8.62,0.69,9161.16,,,,,,,
2014-12-01,47.41,3.66,1.99,43.98,3.79,2.0,38.88,4.09,3.42,32.77,3.37,2.42,8.62,0.7,9072.81,,,,,,,
2014-12-02,47.96,3.69,2.01,44.46,3.83,2.02,39.56,4.15,3.44,33.08,3.49,2.45,8.62,0.69,9152.7,,,,,,,
2014-12-03,48.82,3.76,2.05,45.41,3.91,2.07,40.95,4.2,3.5,35.44,3.46,2.61,8.61,0.68,9311.3,,,,,,,
2014-12-04,49.22,3.79,2.06,45.8,3.94,2.08,40.8,4.2,3.53,33.9,3.48,2.62,8.61,0.68,9409.96,,,,,,,
2014-12-05,47.92,3.68,2.01,44.57,3.84,2.03,38.69,4.06,3.45,34.55,3.38,2.54,8.61,0.69,9161.59,,,,,,,
2014-12-08,47.95,3.67,2.0,44.71,3.85,2.03,39.27,4.11,3.48,32.88,3.46,2.54,8.61,0.69,9163.06,,,,,,,
2014-12-09,46.56,3.55,1.95,43.42,3.74,1.97,37.56,3.92,3.42,31.83,3.34,2.34,8.62,0.72,8880.42,,,,,,,
2014-12-10,47.96,3.65,1.99,44.88,3.87,2.04,38.84,3.98,3.44,34.39,3.24,2.41,8.61,0.7,9151.45,,,,,,,
2014-12-11,48.41,3.69,2.02,45.51,3.92,2.07,38.42,4.01,3.45,34.83,3.47,2.44,8.61,0.69,9279.69,,,,,,,
2014-12-12,48.92,3.74,2.05,46.2,3.98,2.1,39.55,4.11,3.46,35.42,3.43,2.47,8.61,0.67,9424.4,,,,,,,
2014-12-15,49.36,3.77,2.06,46.45,4.0,2.11,40.28,4.11,3.46,34.12,3.46,2.49,8.61,0.67,9471.73,,,,,,,
2014-12-16,49.14,3.76,2.06,46.09,3.97,2.09,40.0,4.08,3.46,34.0,3.53,2.47,8.61,0.68,9410.32,,,,,,,
2014-12-17,48.52,3.72,2.07,45.28,3.9,2.06,40.13,4.07,3.46,35.09,3.49,2.55,8.61,0.69,9266.4,,,,,,,
2014-12-18,48.21,3.68,2.04,44.92,3.87,2.04,39.69,4.02,3.44,34.86,3.46,2.42,8.61,0.7,9128.61,,,,,,,
2014-12-19,47.22,3.61,2.02,43.95,3.78,2.0,39.59,3.97,3.38,30.89,3.47,2.37,8.6,0.71,8976.28,,,,,,,
2014-12-22,44.95,3.44,1.95,41.92,3.61,1.91,37.44,3.77,3.34,27.57,3.21,2.25,8.61,0.74,8558.75,,,,,,,
2014-12-23,44.39,3.39,1.93,41.05,3.53,1.87,36.37,3.74,3.28,27.13,3.16,2.21,8.6,0.76,8417.76,,,,,,,
2014-12-24,45.25,3.46,1.97,41.73,3.59,1.9,37.13,3.82,3.33,27.74,3.03,2.26,8.61,0.74,8568.36,,,,,,,
2014-12-25,45.59,3.49,1.97,42.2,3.63,1.92,37.77,3.8,3.38,28.01,3.08,2.38,8.61,0.73,8667.43,,,,,,,
2014-12-26,45.87,3.5,2.0,43.1,3.67,1.95,37.35,3.79,3.38,27.99,3.08,2.38,8.5,0.73,8717.34,,,,,,,
