,open,close,high,low,volume,money,change,pe,pb,cap,dyr,roe
2014-02-21,3110.43,3068.08,3119.54,3047.39,38704.0,312817.0,-1.37,19.96,1.68,,1.09,11.88
2014-02-24,3044.36,2992.49,3044.89,2964.14,49433.0,402343.0,-2.46,19.47,1.64,2347.03,1.12,11.87
2014-02-25,2994.67,2911.83,3008.61,2903.0,46681.0,387994.0,-2.7,18.95,1.59,2284.51,1.15,11.92
2014-02-26,2902.28,2928.3,2928.3,2888.41,41660.0,339089.0,0.57,19.05,1.6,2295.47,1.14,11.91
2014-02-27,2936.83,2910.74,2949.31,2910.36,46871.0,377449.0,-0.6,18.94,1.59,2284.76,1.15,11.91
2014-02-28,2907.31,2948.91,2951.36,2888.66,32143.0,272383.0,1.31,19.99,1.62,2315.57,1.14,12.34
2014-03-03,2944.88,2977.51,2977.51,2939.43,32021.0,275615.0,0.97,20.18,1.63,2435.17,1.12,12.38
2014-03-04,2967.41,2966.14,2967.92,2938.39,30307.0,255218.0,-0.38,20.11,1.62,2427.49,1.13,12.41
2014-03-05,2972.72,2968.53,2996.34,2963.52,35282.0,285183.0,0.08,20.13,1.63,2429.99,1.13,12.35
2014-03-06,2964.13,2994.49,2996.12,2937.2,36956.0,301832.0,0.87,20.27,1.64,2455.31,1.12,12.36
2014-03-07,2990.23,2972.39,2998.63,2961.3,33636.0,273604.0,-0.74,20.12,1.63,2436.93,1.13,12.34
2014-03-10,2950.34,2859.12,2951.22,2858.38,34764.0,269715.0,-3.81,19.31,1.57,2345.33,1.17,12.3
2014-03-11,2855.57,2894.23,2905.45,2854.96,31221.0,241959.0,1.23,19.55,1.59,2380.31,1.16,12.3
2014-03-12,2886.13,2914.05,2922.88,2873.78,36696.0,283378.0,0.68,19.68,1.6,2402.83,1.15,12.3
2014-03-13,2912.19,2934.09,2934.54,2903.06,35612.0,262979.0,0.69,19.53,1.61,2414.96,1.14,12.13
2014-03-14,2923.14,2923.72,2935.9,2906.74,29135.0,218202.0,-0.35,19.46,1.6,2403.66,1.15,12.16
2014-03-17,2961.8,2989.47,2989.72,2954.35,41928.0,327017.0,2.25,19.9,1.64,2459.44,1.12,12.13
2014-03-18,2988.83,2991.26,2999.64,2977.3,41083.0,334749.0,0.06,19.68,1.63,2462.2,1.12,12.07
2014-03-19,2983.61,3022.99,3022.99,2950.84,49864.0,414172.0,1.06,19.89,1.65,2496.9,1.11,12.05
2014-03-20,3022.85,2983.99,3049.3,2983.21,57254.0,467493.0,-1.29,19.5,1.63,2470.32,1.12,11.96
2014-03-21,2970.81,3060.94,3061.15,2968.46,60235.0,462687.0,2.58,20.02,1.67,2539.7,1.09,11.99
2014-03-24,3066.81,3128.6,3135.74,3066.51,68268.0,569209.0,2.21,20.49,1.71,2624.01,1.07,11.98
2014-03-25,3125.85,3113.7,3143.15,3095.97,60187.0,492467.0,-0.48,17.6,1.66,2616.54,1.08,10.6
2014-03-26,3116.99,3120.49,3126.13,3103.63,50760.0,423659.0,0.22,17.64,1.66,2622.38,1.07,10.63
2014-03-27,3119.32,3074.8,3127.55,3074.8,46644.0,395111.0,-1.46,17.39,1.64,2583.56,1.09,10.6
2014-03-28,3075.77,3087.81,3116.96,3056.81,47774.0,426183.0,0.42,17.45,1.65,2604.77,1.09,10.58
2014-03-31,3090.38,3077.63,3105.79,3057.22,41637.0,341607.0,-0.33,16.96,1.63,2590.56,1.09,10.4
2014-04-01,3072.96,3099.6,3099.9,3062.24,32267.0,264391.0,0.71,17.04,1.64,2606.38,1.08,10.39
