,open,close,high,low,volume,money,change,pe,pb,cap,dyr,roe
1999-12-30,1000.0,1000.0,1000.0,1000.0,2100.0,20852.0,0.0,29.41,3.26,349.01,,9.02
2000-01-04,1000.78,1026.69,1034.88,985.58,3783.0,34828.0,2.67,30.97,3.54,358.2,0.37,8.75
2000-01-05,1031.05,1031.12,1061.17,1015.98,7712.0,75053.0,0.43,31.13,3.5,362.99,0.37,8.89
2000-01-06,1026.31,1066.99,1071.1,1015.41,7005.0,72224.0,3.48,32.18,3.62,375.62,0.36,8.89
2000-01-07,1077.5,1109.21,1125.46,1066.42,15732.0,169634.0,3.96,33.46,3.76,390.48,0.34,8.9
2000-01-10,1120.63,1126.38,1147.76,1087.34,16340.0,175630.0,1.55,34.04,3.83,396.53,0.34,8.89
2000-01-11,1127.81,1078.71,1141.9,1064.46,12840.0,138040.0,-4.23,32.69,3.68,379.75,0.35,8.88
2000-01-12,1074.13,1050.72,1099.38,1036.4,9611.0,103304.0,-2.59,31.83,3.58,369.89,0.36,8.89
2000-01-13,1051.39,1041.98,1070.84,1026.79,5402.0,55960.0,-0.83,31.57,3.55,366.82,0.36,8.89
2000-01-14,1042.17,1030.26,1060.46,1018.7,4417.0,44901.0,-1.12,31.21,3.51,362.69,0.37,8.89
2000-01-17,1028.79,1050.78,1058.32,1018.2,5086.0,58725.0,1.99,31.79,3.57,369.92,0.36,8.9
2000-01-18,1053.48,1048.31,1078.1,1032.61,5972.0,64975.0,-0.24,31.82,3.58,369.04,0.36,8.89
2000-01-19,1047.5,1057.63,1070.67,1037.79,4524.0,47071.0,0.89,32.09,3.61,372.33,0.36,8.89
2000-01-20,1060.51,1069.98,1082.66,1048.42,6325.0,64402.0,1.17,32.47,3.65,376.67,0.35,8.9
2000-01-21,1075.09,1071.66,1101.34,1048.98,10991.0,114783.0,0.16,32.54,3.66,377.26,0.35,8.89
2000-01-24,1070.46,1079.28,1099.71,1045.27,9759.0,103016.0,0.71,32.78,3.69,379.95,0.35,8.88
2000-01-25,1083.75,1077.57,1109.88,1055.23,9818.0,97542.0,-0.16,32.82,3.67,381.59,0.35,8.94
2000-01-26,1079.0,1083.72,1104.08,1062.78,7366.0,77231.0,0.57,32.96,3.69,383.41,0.35,8.93
2000-01-27,1088.21,1087.26,1107.06,1065.91,9768.0,101750.0,0.33,33.18,3.71,384.7,0.34,8.94
2000-01-28,1090.0,1100.44,1120.43,1063.61,13061.0,142763.0,1.21,33.49,3.75,389.32,0.34,8.93
2000-02-14,1140.03,1201.02,1205.16,1121.54,18444.0,208346.0,9.14,36.42,4.07,424.92,0.31,8.95
2000-02-15,1234.96,1208.12,1266.57,1184.95,22852.0,276996.0,0.59,36.51,4.08,427.55,0.31,8.95
2000-02-16,1219.26,1244.17,1263.9,1180.27,30906.0,322444.0,2.98,37.44,4.19,440.47,0.3,8.94
2000-02-17,1286.92,1253.45,1345.04,1201.19,45647.0,486102.0,0.75,37.69,4.17,443.53,0.3,9.04
2000-02-18,1251.13,1293.68,1318.59,1190.29,32453.0,339816.0,3.21,38.89,4.29,457.94,0.29,9.07
2000-02-21,1310.34,1316.53,1368.57,1267.16,31697.0,376941.0,1.77,39.66,4.38,465.92,0.29,9.05
2000-02-22,1323.5,1256.92,1355.25,1240.99,21640.0,254048.0,-4.53,38.0,4.19,444.85,0.3,9.07
2000-02-23,1245.72,1208.42,1276.17,1191.67,19630.0,207021.0,-3.86,36.52,4.04,427.62,0.31,9.04
