,open,close,high,low,volume,money,change,pe,pb,cap,dyr,roe
2014-02-21,1507.22,1492.41,1508.49,1483.39,62677.0,444475.0,-1.0,10.4,1.32,,1.71,7.88
2014-02-24,1484.84,1449.97,1484.97,1438.8,80387.0,565104.0,-2.84,10.11,1.28,4562.34,1.76,7.9
2014-02-25,1448.75,1412.27,1455.35,1406.99,70978.0,496806.0,-2.6,9.84,1.25,4448.32,1.8,7.87
2014-02-26,1408.51,1410.77,1411.75,1394.22,63270.0,389375.0,-0.11,9.95,1.26,4456.45,1.79,7.9
2014-02-27,1414.1,1392.68,1415.34,1391.8,69281.0,433051.0,-1.28,9.82,1.24,4408.0,1.82,7.92
2014-02-28,1393.28,1411.52,1412.73,1384.85,59005.0,491509.0,1.35,9.95,1.26,4464.57,1.79,7.9
2014-03-03,1411.14,1436.49,1437.38,1408.01,62022.0,501706.0,1.77,10.12,1.28,4531.24,1.76,7.91
2014-03-04,1432.11,1429.04,1434.27,1416.17,56741.0,528564.0,-0.52,10.03,1.27,4507.79,1.77,7.9
2014-03-05,1430.5,1425.53,1435.57,1422.15,53252.0,453384.0,-0.25,10.0,1.27,4495.62,1.77,7.87
2014-03-06,1423.72,1433.88,1437.22,1408.97,58707.0,465571.0,0.59,10.06,1.28,4520.2,1.77,7.86
2014-03-07,1431.4,1423.2,1439.41,1416.83,57631.0,434782.0,-0.74,9.98,1.27,4494.54,1.78,7.86
2014-03-10,1413.89,1381.08,1413.95,1378.7,61071.0,414380.0,-2.96,9.69,1.23,4382.86,1.83,7.88
2014-03-11,1378.74,1383.3,1388.12,1372.56,49593.0,375654.0,0.16,9.7,1.23,4389.5,1.83,7.89
2014-03-12,1381.18,1394.09,1397.72,1375.27,61103.0,434824.0,0.78,9.8,1.24,4424.36,1.82,7.9
2014-03-13,1393.7,1399.36,1403.98,1390.53,49820.0,340443.0,0.38,9.83,1.25,4442.33,1.81,7.86
2014-03-14,1391.52,1384.39,1393.4,1375.39,40709.0,277496.0,-1.07,9.73,1.23,4398.31,1.83,7.91
2014-03-17,1388.03,1408.05,1408.11,1387.87,45724.0,315385.0,1.71,9.9,1.25,4466.41,1.8,7.92
2014-03-18,1409.23,1409.71,1412.81,1403.22,49433.0,385902.0,0.12,9.96,1.25,4470.79,1.8,7.97
