,name,1d,5d,10d,20d,30d,60d,90d,tw,tm,tq,ty,2015y,2016y,2017y,2018y,2019y,vlt,update,aid
OIL,布伦特原油,2.38,2.76,2.58,5.51,4.0,20.13,10.62,0.0,0.0,0.0,0.0,-33.43,50.93,17.39,-20.35,30.34,14.21,2019-04-01,close
XAU,伦敦金,0.16,0.85,1.42,-1.63,-0.74,3.02,8.29,0.0,0.0,0.0,0.0,-10.98,8.94,12.57,-1.71,1.84,10.58,2019-03-18,close
XAG,伦敦银,-0.44,-2.32,-2.0,-0.4,-5.4,-3.5,6.44,0.0,0.0,0.0,0.0,-10.9,15.77,5.41,-9.13,-2.07,14.04,2019-04-02,close
