,name,pe,pe_ratio,pe_state,pe_min,pe_max,pe_median,pe_mean,pe_drop,pe_q10,pe_q20,pe_q40,pe_q50,pe_q60,pe_q80,pe_q90,pb,pb_ratio,pb_state,pb_min,pb_max,pb_median,pb_mean,pb_drop,pb_q10,pb_q20,pb_q40,pb_q50,pb_q60,pb_q80,pb_q90,ps,ps_ratio,ps_state,ps_min,ps_max,ps_median,ps_mean,ps_drop,ps_q10,ps_q20,ps_q40,ps_q50,ps_q60,ps_q80,ps_q90,pcf,pcf_ratio,pcf_state,pcf_min,pcf_max,pcf_median,pcf_mean,pcf_drop,pcf_q10,pcf_q20,pcf_q40,pcf_q50,pcf_q60,pcf_q80,pcf_q90,roe,roe_ratio,roe_state,roe_min,roe_max,roe_median,roe_mean,roe_drop,roe_q10,roe_q20,roe_q40,roe_q50,roe_q60,roe_q80,roe_q90,dyr,dyr_ratio,dyr_state,dyr_min,dyr_max,dyr_median,dyr_mean,dyr_drop,dyr_q10,dyr_q20,dyr_q40,dyr_q50,dyr_q60,dyr_q80,dyr_q90,cap,roe,roe_mean,Profit_margin,income,profit,peg,industry,sample,start,update,aid
601166.XSHG,兴业银行,5.51,29.81,偏低,3.97,8.5,5.87,5.75,-27.95,4.37,4.93,5.77,5.87,5.97,6.38,6.66,0.81,3.11,极低,0.72,1.44,0.94,0.97,-11.11,0.85,0.89,0.92,0.94,0.96,1.05,1.14,2.27,66.75,偏高,1.58,3.29,2.05,2.13,-30.4,1.71,1.82,1.98,2.05,2.16,2.48,2.6,-4.75,6.96,极低,-7.08,23.29,-1.55,0.68,,-4.45,-2.96,-2.04,-1.55,0.85,2.91,3.22,14.63,4.34,极低,13.53,21.41,16.55,17.11,-7.52,14.66,15.26,15.58,16.55,16.96,19.86,20.69,4.22,89.52,较高,2.22,4.85,3.66,3.66,-47.39,3.22,3.4,3.58,3.66,3.76,3.93,4.23,301.53,14.2,17.98,,10.69,10.61,0.52,银行I,1221,2013-08-12,2018-08-10,5
000001.XSHE,平安银行,6.72,20.07,偏低,5.95,12.14,7.16,7.67,-11.46,6.55,6.71,6.98,7.16,7.47,8.59,9.65,0.79,6.55,极低,0.71,1.81,0.97,1.01,-10.13,0.79,0.82,0.93,0.97,1.01,1.15,1.26,1.49,15.89,较低,1.36,3.18,1.85,1.9,-8.72,1.46,1.5,1.77,1.85,1.93,2.28,2.4,2.24,81.74,较高,-26.43,99.09,0.82,1.38,-1279.91,-4.67,-2.06,-0.6,0.82,1.12,2.18,10.86,11.72,26.78,偏低,10.86,15.72,13.29,13.11,-7.34,11.52,11.62,12.1,13.29,13.84,14.69,15.12,1.47,92.87,极高,0.67,1.84,1.3,1.2,-54.42,0.83,0.9,1.21,1.3,1.34,1.4,1.44,131.96,10.92,14.01,,22.63,12.01,0.56,银行I,1221,2013-08-12,2018-08-10,5
600015.XSHG,华夏银行,4.87,20.72,偏低,4.18,8.71,5.8,5.72,-14.17,4.55,4.84,5.58,5.8,5.98,6.29,6.56,0.64,1.72,极低,0.61,1.5,0.84,0.89,-4.69,0.75,0.78,0.82,0.84,0.86,1.0,1.1,1.47,3.85,极低,1.4,2.9,1.79,1.83,-4.76,1.54,1.61,1.74,1.79,1.82,1.98,2.14,-0.64,32.43,偏低,-38.44,40.12,0.95,3.47,,-2.24,-0.82,0.43,0.95,1.06,2.09,33.92,13.22,9.58,极低,12.59,18.56,16.6,15.58,-4.77,13.22,13.46,14.19,16.6,16.74,17.42,18.04,2.0,20.31,偏低,1.45,5.69,3.45,3.34,-27.5,1.63,1.98,3.28,3.45,3.57,4.39,4.81,102.74,12.33,16.48,,10.95,9.41,0.52,银行I,1221,2013-08-12,2018-08-10,5
603323.XSHG,吴江银行,11.97,6.71,极低,11.07,36.27,22.18,21.5,-7.52,12.75,15.12,18.14,22.18,24.23,27.64,30.13,1.1,6.95,极低,1.0,3.17,1.92,1.89,-9.09,1.15,1.32,1.58,1.92,2.08,2.47,2.75,3.32,7.67,极低,2.99,10.15,6.12,5.93,-9.94,3.44,4.07,4.88,6.12,6.72,7.58,8.49,-3.83,81.53,较高,-369.98,-2.15,-6.34,-77.75,,-314.27,-256.93,-13.12,-6.34,-5.71,-4.01,-3.39,9.16,81.53,较高,8.37,9.29,8.75,8.79,-8.62,8.4,8.51,8.64,8.75,8.81,9.04,9.27,2.27,56.12,合理,0.37,2.6,0.54,0.85,-83.7,0.4,0.42,0.52,0.54,0.56,0.63,2.36,9.55,9.02,9.0,,7.79,10.01,1.2,银行I,417,2016-11-29,2018-08-10,5
601229.XSHG,上海银行,7.35,4.23,极低,7.07,12.97,9.38,9.02,-3.81,7.51,7.67,8.12,9.38,9.66,10.13,10.49,0.96,34.74,偏低,0.81,1.76,1.16,1.14,-15.62,0.91,0.93,0.98,1.16,1.23,1.34,1.4,3.32,3.29,极低,3.2,5.16,3.99,3.98,-3.61,3.48,3.56,3.76,3.99,4.12,4.41,4.56,-4.88,38.26,偏低,-10.0,105.98,-4.74,-0.23,,-9.0,-7.84,-4.87,-4.74,2.26,7.86,8.19,13.12,73.47,偏高,11.36,13.9,12.14,12.58,-13.41,12.06,12.07,12.12,12.14,12.45,13.55,13.82,3.14,57.04,合理,1.88,3.48,2.47,2.44,-40.13,2.07,2.15,2.43,2.47,2.52,2.6,2.67,144.65,11.6,12.64,,0.03,8.59,0.86,银行I,426,2016-11-16,2018-08-10,5
002807.XSHE,江阴银行,12.29,5.93,极低,11.58,53.83,23.75,24.74,-5.78,13.48,15.76,20.14,23.75,26.62,29.76,40.07,1.09,5.72,极低,1.03,4.73,2.16,2.24,-5.5,1.2,1.39,1.79,2.16,2.42,2.79,3.69,3.89,5.72,极低,3.67,17.26,7.52,7.88,-5.66,4.27,5.08,6.55,7.52,8.45,9.47,12.57,-2.51,13.56,较低,-25.31,25.49,2.42,3.89,,-2.73,1.09,1.44,2.42,2.69,12.93,15.18,8.88,41.31,合理,8.71,10.67,8.88,9.03,-1.91,8.78,8.84,8.85,8.88,8.98,9.06,9.08,1.76,34.96,偏低,0.93,2.25,1.71,1.65,-47.16,1.19,1.27,1.6,1.71,1.81,1.91,2.11,-358.54,9.39,9.49,,0.07,-0.28,-43.89,银行I,472,2016-09-02,2018-08-10,5
600919.XSHG,江苏银行,5.94,3.03,极低,5.8,16.27,9.4,9.29,-2.36,6.76,7.2,8.53,9.4,9.88,11.16,11.77,0.78,3.43,极低,0.76,2.35,1.23,1.23,-2.56,0.87,0.94,1.11,1.23,1.29,1.46,1.65,2.14,3.03,极低,2.08,5.46,3.22,3.2,-2.8,2.43,2.53,2.96,3.22,3.39,3.8,3.97,-0.46,45.05,合理,-6.32,12.85,-0.45,2.22,,-2.74,-2.54,-0.52,-0.45,1.62,11.33,11.95,13.16,65.86,偏高,12.54,14.57,13.03,13.17,-4.71,12.88,12.9,12.97,13.03,13.03,13.17,14.39,2.87,56.16,合理,1.81,2.94,2.29,2.31,-36.93,1.93,2.03,2.23,2.29,2.37,2.48,2.8,61.24,12.17,13.24,,9.69,11.82,0.5,银行I,495,2016-08-02,2018-08-10,5
600908.XSHG,无锡银行,10.42,4.14,极低,10.09,48.05,20.68,20.53,-3.17,11.67,13.34,16.44,20.68,22.87,26.55,28.92,1.15,3.27,极低,1.11,4.93,2.11,2.16,-3.48,1.28,1.44,1.75,2.11,2.41,2.78,3.0,3.62,4.14,极低,3.5,16.9,7.26,7.23,-3.31,4.06,4.66,5.77,7.26,8.06,9.43,10.19,-2.43,91.07,极高,-90.98,-2.15,-24.04,-21.73,,-35.21,-30.45,-25.0,-24.04,-20.34,-2.86,-2.45,11.03,84.97,较高,10.0,11.48,10.6,10.59,-9.34,10.18,10.24,10.58,10.6,10.61,10.8,11.03,2.6,57.52,合理,1.13,2.68,1.87,1.86,-56.54,1.28,1.33,1.79,1.87,1.92,2.21,2.56,11.48,11.26,11.22,,9.19,9.29,1.12,银行I,459,2016-09-23,2018-08-10,5
601169.XSHG,北京银行,6.45,27.35,偏低,4.73,10.1,7.41,7.08,-26.67,5.24,5.57,7.09,7.41,7.58,8.13,8.5,0.78,1.23,极低,0.75,1.62,1.05,1.03,-3.85,0.82,0.88,1.0,1.05,1.08,1.13,1.2,2.44,21.62,偏低,2.0,4.2,2.83,2.8,-18.03,2.23,2.41,2.77,2.83,2.91,3.1,3.24,-11.79,15.81,较低,-73.81,7.22,0.89,-5.71,,-13.95,-3.28,-1.48,0.89,1.52,2.55,5.84,12.07,10.48,较低,11.65,17.31,15.55,14.69,-3.48,11.85,12.5,14.35,15.55,15.81,16.28,16.41,4.59,80.67,较高,0.97,5.76,2.34,2.77,-78.87,1.49,2.01,2.19,2.34,2.45,4.49,5.13,122.68,11.84,15.46,,12.76,10.03,0.64,银行I,1221,2013-08-12,2018-08-10,5
601988.XSHG,中国银行,5.96,47.17,合理,4.37,9.69,6.06,6.13,-26.68,4.59,5.09,5.82,6.06,6.47,7.01,7.59,0.77,31.53,偏低,0.69,1.35,0.8,0.85,-10.39,0.73,0.75,0.78,0.8,0.85,0.95,1.06,2.17,48.16,合理,1.67,3.6,2.17,2.25,-23.04,1.75,1.94,2.09,2.17,2.28,2.56,2.82,33.49,95.0,极高,-616.81,36.99,-1.91,-10.89,-1941.77,-8.92,-6.61,-2.28,-1.91,1.23,3.56,6.36,12.92,41.03,合理,11.28,17.57,13.47,14.1,-12.69,12.44,12.61,12.86,13.47,13.87,16.67,16.81,5.13,56.1,合理,3.39,7.72,4.99,5.3,-33.92,4.2,4.44,4.82,4.99,5.21,6.34,6.97,2269.36,11.7,14.06,,5.83,4.45,1.34,银行I,1221,2013-08-12,2018-08-10,5
