,open,close,high,low,volume,money,change,pe,pb,cap,dyr,roe
1999-12-30,1000.0,1000.0,1000.0,1000.0,986.0,12397.0,0.0,35.89,4.18,232.09,,8.59
2000-01-04,1001.98,1027.66,1035.36,985.47,1401.0,18320.0,2.77,38.4,4.59,238.49,0.41,8.37
2000-01-05,1035.47,1028.87,1057.85,1013.07,2533.0,29044.0,0.12,38.6,4.37,241.51,0.46,8.83
2000-01-06,1025.38,1065.67,1070.79,1011.0,3020.0,42144.0,3.58,39.99,4.52,250.15,0.45,8.85
2000-01-07,1076.06,1106.19,1117.71,1058.83,6483.0,87516.0,3.8,41.48,4.68,259.66,0.43,8.86
2000-01-10,1108.57,1130.06,1144.09,1082.38,5465.0,76908.0,2.16,42.18,4.77,268.46,0.42,8.84
2000-01-11,1135.11,1104.18,1145.76,1082.01,5938.0,80206.0,-2.29,41.3,4.67,262.31,0.43,8.84
2000-01-12,1094.59,1080.4,1114.88,1061.11,4319.0,60227.0,-2.15,40.39,4.57,256.66,0.43,8.84
2000-01-13,1078.21,1066.57,1091.29,1051.82,2632.0,37650.0,-1.28,39.88,4.51,253.38,0.44,8.84
2000-01-14,1070.44,1062.16,1085.36,1041.54,2115.0,30256.0,-0.41,39.64,4.49,252.33,0.44,8.83
2000-01-17,1058.23,1085.92,1094.8,1043.07,3120.0,47188.0,2.24,40.52,4.58,257.97,0.43,8.85
2000-01-18,1097.11,1076.92,1106.04,1062.56,2643.0,40871.0,-0.83,40.38,4.56,255.83,0.43,8.86
2000-01-19,1081.8,1110.19,1124.59,1071.04,3048.0,51804.0,3.09,41.53,4.69,263.74,0.42,8.86
2000-01-20,1110.87,1149.22,1156.03,1100.1,3661.0,59745.0,3.52,42.97,4.85,273.01,0.41,8.86
2000-01-21,1153.26,1148.63,1179.03,1121.61,4291.0,65525.0,-0.05,43.02,4.86,272.87,0.41,8.85
2000-01-24,1147.1,1172.99,1189.07,1120.02,4571.0,72083.0,2.12,43.88,4.95,278.66,0.4,8.86
2000-01-25,1174.57,1196.05,1225.91,1151.63,5243.0,86072.0,1.97,44.49,5.03,284.13,0.4,8.84
2000-01-26,1192.9,1200.14,1224.46,1167.39,3496.0,67575.0,0.34,44.73,5.05,285.11,0.4,8.86
2000-01-27,1202.86,1210.27,1239.35,1176.42,5264.0,78170.0,0.84,45.13,5.09,287.51,0.39,8.87
2000-01-28,1208.3,1216.79,1247.21,1169.71,5986.0,92979.0,0.54,45.57,5.13,289.05,0.38,8.88
2000-02-14,1249.05,1328.78,1332.89,1237.56,7639.0,119921.0,9.2,49.74,5.59,315.67,0.35,8.9
2000-02-15,1356.08,1356.6,1425.41,1303.61,11559.0,180397.0,2.09,51.08,5.73,322.13,0.34,8.91
2000-02-16,1382.39,1404.39,1432.74,1318.76,10539.0,161244.0,3.52,53.05,5.96,333.63,0.33,8.9
2000-02-17,1432.38,1369.7,1497.79,1332.59,11320.0,175661.0,-2.47,51.83,5.7,330.74,0.33,9.09
2000-02-18,1365.65,1413.28,1435.01,1300.1,6360.0,103599.0,3.18,53.48,5.88,341.27,0.32,9.1
2000-02-21,1420.27,1441.89,1485.56,1353.47,6969.0,115487.0,2.02,54.4,5.97,348.17,0.32,9.11
2000-02-22,1451.12,1419.15,1484.9,1379.09,7044.0,129114.0,-1.58,53.51,5.88,342.68,0.33,9.1
2000-02-23,1398.92,1399.22,1438.83,1337.89,5579.0,102024.0,-1.4,52.61,5.79,337.87,0.34,9.09
2000-02-24,1387.9,1424.87,1449.93,1370.16,3827.0,75180.0,1.83,53.54,5.88,344.06,0.33,9.11
2000-02-25,1425.04,1425.97,1466.32,1387.81,3993.0,68698.0,0.08,53.41,5.87,344.33,0.33,9.1
2000-02-28,1431.52,1493.82,1509.36,1411.34,6619.0,111926.0,4.76,55.97,6.15,360.0,0.32,9.1
2000-02-29,1512.28,1493.42,1540.9,1438.07,6246.0,100418.0,-0.03,55.9,6.14,359.94,0.32,9.1
2000-03-01,1504.05,1502.71,1536.04,1452.16,4838.0,79609.0,0.62,56.1,6.16,363.1,0.32,9.11
2000-03-02,1506.7,1507.87,1547.36,1466.25,4016.0,70689.0,0.34,56.4,6.2,363.43,0.32,9.1
2000-03-03,1509.34,1498.59,1548.43,1457.76,7246.0,108195.0,-0.61,56.3,6.19,361.18,0.32,9.1
2000-03-06,1508.17,1449.86,1532.23,1426.92,6926.0,111743.0,-3.25,54.37,5.97,349.42,0.33,9.11
2000-03-07,1424.04,1449.21,1466.68,1400.76,3318.0,54899.0,-0.04,54.36,5.97,349.29,0.32,9.11
2000-03-08,1459.98,1469.58,1492.22,1424.02,3951.0,67276.0,1.41,55.23,6.09,354.26,0.32,9.07
2000-03-09,1469.72,1474.38,1501.94,1433.29,4209.0,67017.0,0.33,55.43,6.09,355.42,0.32,9.1
2000-03-10,1474.44,1448.85,1489.08,1422.6,3522.0,56574.0,-1.73,54.44,5.98,349.2,0.33,9.1
2000-03-13,1449.62,1478.78,1494.09,1427.05,4936.0,76553.0,2.07,55.75,6.13,356.41,0.32,9.09
2000-03-14,1439.23,1448.17,1470.05,1376.15,5831.0,82787.0,-2.07,54.67,6.01,349.03,0.33,9.1
2000-03-15,1449.12,1450.1,1484.24,1421.99,4823.0,78175.0,0.13,54.74,6.03,349.49,0.32,9.08
2000-03-16,1439.31,1402.56,1453.42,1369.27,4063.0,64487.0,-3.28,52.81,5.82,338.02,0.33,9.07
2000-03-17,1394.91,1444.13,1453.19,1381.84,4139.0,60004.0,2.96,54.5,6.01,347.94,0.32,9.07
2000-03-20,1432.86,1476.28,1491.61,1407.23,6166.0,87785.0,2.23,55.74,6.13,355.65,0.32,9.09
2000-03-21,1474.6,1484.09,1507.31,1443.22,6755.0,99185.0,0.53,56.1,6.17,357.53,0.32,9.09
2000-03-22,1486.43,1490.19,1520.07,1438.58,4797.0,83903.0,0.41,56.36,6.2,358.93,0.31,9.09
2000-03-23,1496.88,1510.84,1534.89,1459.59,6183.0,98393.0,1.39,57.08,6.23,363.93,0.31,9.16
2000-03-24,1516.08,1493.61,1549.71,1468.86,7196.0,116943.0,-1.14,56.55,6.18,359.83,0.31,9.15
2000-03-27,1486.77,1523.32,1546.59,1466.08,6873.0,109566.0,1.99,57.64,6.3,366.98,0.3,9.15
2000-03-28,1532.94,1544.13,1576.82,1491.69,9355.0,141210.0,1.37,58.22,6.36,371.91,0.3,9.15
2000-03-29,1547.67,1537.14,1575.19,1491.59,7596.0,122311.0,-0.45,57.88,6.33,370.21,0.3,9.14
2000-03-30,1538.54,1540.48,1566.72,1511.16,5634.0,87596.0,0.22,58.07,6.36,371.01,0.3,9.13
2000-03-31,1537.83,1537.94,1563.98,1502.9,5778.0,86272.0,-0.16,57.93,6.34,370.35,0.3,9.14
2000-04-03,1534.95,1522.13,1559.5,1503.19,4333.0,63657.0,-1.03,57.28,6.26,366.51,0.3,9.15
2000-04-04,1516.97,1507.87,1538.59,1476.6,5660.0,87697.0,-0.94,56.83,6.2,363.03,0.31,9.17
2000-04-05,1505.08,1518.92,1539.32,1480.26,4175.0,59451.0,0.73,57.24,6.25,365.75,0.3,9.16
2000-04-06,1519.4,1541.46,1548.8,1507.98,3982.0,58592.0,1.48,58.16,6.35,371.19,0.3,9.16
2000-04-07,1551.43,1569.14,1591.77,1530.68,5830.0,102079.0,1.8,59.14,6.52,377.78,0.3,9.07
2000-04-10,1559.53,1557.76,1589.56,1526.44,5289.0,81535.0,-0.73,58.79,6.51,374.97,0.3,9.03
2000-04-11,1560.6,1564.94,1593.02,1532.53,5131.0,83861.0,0.46,59.07,6.54,376.72,0.3,9.03
2000-04-12,1566.96,1551.9,1578.03,1519.1,3344.0,55411.0,-0.83,58.59,6.49,373.65,0.3,9.03
2000-04-13,1550.22,1573.71,1596.27,1526.49,4466.0,74057.0,1.41,59.28,6.53,377.96,0.3,9.08
2000-04-14,1574.67,1568.76,1593.45,1541.88,4983.0,76790.0,-0.31,59.56,6.6,379.55,0.29,9.02
2000-04-17,1561.24,1545.19,1593.66,1508.32,5226.0,82794.0,-1.5,58.49,6.49,373.85,0.3,9.01
2000-04-18,1546.68,1550.94,1582.41,1510.39,4888.0,73481.0,0.37,59.1,6.55,380.91,0.94,9.02
2000-04-19,1567.62,1575.33,1598.8,1544.46,4401.0,71972.0,1.57,59.52,6.6,381.14,0.29,9.02
2000-04-20,1580.52,1587.4,1623.35,1563.2,5167.0,78491.0,0.77,55.96,6.22,358.33,0.31,9.0
2000-04-21,1589.99,1574.37,1617.41,1543.58,4888.0,73481.0,-0.82,59.27,6.73,380.91,0.29,8.81
2000-04-24,1577.26,1576.25,1609.36,1545.96,5593.0,85321.0,0.12,59.23,6.74,381.37,0.29,8.79
2000-04-25,1580.94,1578.45,1605.06,1548.03,4340.0,71735.0,0.14,59.31,6.7,381.9,0.29,8.85
2000-04-26,1581.33,1578.58,1605.3,1549.1,4072.0,67100.0,0.01,59.4,6.71,381.93,0.29,8.85
2000-04-27,1589.42,1586.93,1626.49,1546.23,4286.0,72324.0,0.53,59.77,6.76,383.95,0.29,8.84
2000-04-28,1592.16,1619.77,1637.51,1563.2,4592.0,78758.0,2.07,61.02,6.92,391.86,0.29,8.82
