,open,close,high,low,volume,money,change,pe,pb,cap,dyr,roe
1999-12-30,1000.0,1000.0,1000.0,1000.0,1919.0,21409.0,0.0,45.78,3.51,556.03,,13.04
2000-01-04,1003.46,1032.15,1039.87,991.98,4892.0,55312.0,3.21,47.89,3.65,573.91,0.4,13.12
2000-01-05,1033.21,1034.17,1064.41,1014.91,8016.0,98396.0,0.2,47.97,3.65,575.03,0.39,13.14
2000-01-06,1030.2,1069.96,1077.16,1017.56,7560.0,87283.0,3.46,49.77,3.79,594.93,0.38,13.13
2000-01-07,1077.79,1107.52,1121.05,1066.43,15044.0,170214.0,3.51,51.56,3.92,615.82,0.37,13.15
2000-01-10,1118.61,1133.78,1151.69,1089.97,15918.0,180870.0,2.37,52.53,4.0,627.2,0.36,13.13
2000-01-11,1133.59,1083.97,1148.37,1070.14,12369.0,144264.0,-4.39,50.13,3.81,599.73,0.38,13.16
2000-01-12,1080.62,1058.68,1107.23,1044.88,10465.0,125991.0,-2.33,49.0,3.72,585.85,0.39,13.17
2000-01-13,1056.02,1051.14,1078.96,1039.35,6510.0,75488.0,-0.71,48.7,3.7,581.63,0.39,13.16
2000-01-14,1054.28,1038.64,1071.45,1027.0,6184.0,66359.0,-1.19,48.11,3.66,574.95,0.39,13.14
2000-01-17,1035.77,1057.72,1069.68,1021.86,7182.0,68018.0,1.84,49.24,3.73,585.39,0.39,13.2
2000-01-18,1060.37,1053.7,1080.12,1037.63,9747.0,99185.0,-0.38,48.33,3.71,590.7,0.38,13.03
2000-01-19,1053.05,1062.14,1076.04,1039.79,6462.0,71224.0,0.8,48.69,3.75,595.42,0.38,12.98
2000-01-20,1063.51,1082.54,1093.29,1053.53,7638.0,86600.0,1.92,49.73,3.82,606.86,0.37,13.02
2000-01-21,1087.33,1080.92,1111.84,1060.61,12282.0,140069.0,-0.15,49.64,3.81,607.16,0.37,13.03
2000-01-24,1080.84,1092.06,1110.53,1052.77,14168.0,162795.0,1.03,50.15,3.84,613.67,0.37,13.06
2000-01-25,1094.61,1093.5,1128.01,1069.89,12418.0,146664.0,0.13,50.05,3.85,614.15,0.37,13.0
2000-01-26,1094.51,1102.74,1121.58,1075.89,9069.0,101607.0,0.85,50.36,3.88,619.54,0.37,12.98
2000-01-27,1112.95,1119.8,1145.73,1091.56,13583.0,156701.0,1.55,51.45,3.95,629.23,0.36,13.03
2000-01-28,1129.81,1146.88,1169.78,1109.91,18152.0,213065.0,2.42,52.97,4.06,644.33,0.35,13.05
2000-02-14,1189.29,1250.26,1253.16,1174.34,21347.0,258878.0,9.01,57.83,4.43,702.43,0.32,13.05
2000-02-15,1277.68,1248.13,1335.79,1219.99,32810.0,412700.0,-0.17,57.71,4.42,701.44,0.32,13.06
2000-02-16,1255.07,1281.06,1307.44,1216.14,33559.0,386548.0,2.64,59.54,4.43,729.79,0.31,13.44
2000-02-17,1312.24,1250.23,1374.85,1213.75,48013.0,584019.0,-2.41,58.24,4.33,712.22,0.31,13.45
2000-02-18,1245.89,1263.63,1288.66,1187.87,24186.0,296493.0,1.07,58.92,4.37,719.86,0.31,13.48
2000-02-21,1281.88,1288.6,1332.54,1231.1,31843.0,419111.0,1.98,60.19,4.47,734.69,0.31,13.47
2000-02-22,1304.38,1241.08,1343.44,1225.93,30147.0,428695.0,-3.69,57.67,4.28,707.6,0.32,13.47
2000-02-23,1230.64,1212.82,1259.6,1187.95,18781.0,250232.0,-2.28,56.23,4.18,691.49,0.33,13.45
2000-02-24,1208.48,1233.37,1250.11,1190.78,13818.0,214198.0,1.69,57.38,4.26,703.2,0.32,13.47
2000-02-25,1232.83,1225.59,1260.1,1199.03,17670.0,241190.0,-0.63,56.79,4.23,698.77,0.32,13.43
2000-02-28,1228.31,1279.61,1295.67,1214.15,23735.0,314103.0,4.41,59.2,4.41,729.57,0.31,13.42
2000-02-29,1296.64,1305.27,1346.8,1248.86,31971.0,425718.0,2.0,60.52,4.5,744.2,0.3,13.45
2000-03-01,1315.17,1308.49,1356.33,1274.56,25899.0,334820.0,0.25,60.38,4.5,745.2,0.3,13.42
2000-03-02,1310.35,1309.6,1350.61,1276.94,23953.0,301859.0,0.09,60.15,4.5,746.67,0.3,13.37
2000-03-03,1321.68,1320.73,1358.3,1294.4,23002.0,294163.0,0.85,60.67,4.53,753.01,0.3,13.39
2000-03-06,1329.67,1255.9,1353.7,1245.82,22228.0,278238.0,-4.91,57.62,4.31,716.05,0.32,13.37
2000-03-07,1236.06,1255.62,1268.75,1217.46,13098.0,155734.0,-0.02,57.49,4.3,715.89,0.32,13.37
2000-03-08,1263.69,1282.95,1303.2,1244.02,13671.0,163195.0,2.18,58.87,4.4,731.47,0.31,13.38
2000-03-09,1286.61,1274.54,1309.86,1250.31,12290.0,153653.0,-0.66,58.5,4.36,726.68,0.31,13.42
2000-03-10,1274.75,1258.28,1300.29,1242.24,12460.0,164234.0,-1.28,57.79,4.31,717.41,0.32,13.41
2000-03-13,1257.53,1288.19,1305.26,1242.99,13193.0,175898.0,2.38,59.24,4.41,734.46,0.31,13.43
2000-03-14,1259.72,1263.84,1292.37,1212.51,19396.0,226965.0,-1.89,57.92,4.32,720.58,0.31,13.41
2000-03-15,1260.88,1277.46,1305.69,1242.25,19647.0,214620.0,1.08,58.38,4.36,728.34,0.31,13.39
2000-03-16,1269.38,1213.87,1278.42,1195.68,15384.0,166169.0,-4.98,55.33,4.12,692.09,0.33,13.43
2000-03-17,1207.99,1258.05,1270.23,1201.51,18311.0,211611.0,3.64,57.27,4.27,717.28,0.32,13.41
2000-03-20,1247.51,1293.07,1309.9,1221.34,22064.0,270426.0,2.78,58.78,4.39,737.24,0.31,13.39
2000-03-21,1295.47,1305.41,1338.35,1269.28,20622.0,245640.0,0.95,59.21,4.42,744.28,0.31,13.4
2000-03-22,1306.02,1310.16,1344.24,1282.66,18245.0,222607.0,0.36,59.39,4.44,746.98,0.31,13.38
2000-03-23,1313.62,1332.27,1349.67,1290.99,18393.0,222534.0,1.69,60.4,4.51,753.3,0.3,13.39
2000-03-24,1339.84,1326.93,1377.22,1305.83,25835.0,319412.0,-0.4,59.92,4.48,763.76,0.3,13.37
2000-03-27,1334.58,1378.08,1397.17,1320.47,28449.0,330974.0,3.85,62.18,4.66,793.2,0.29,13.34
2000-03-28,1395.22,1377.17,1427.12,1348.52,29264.0,340019.0,-0.07,62.1,4.65,792.68,0.29,13.35
2000-03-29,1388.0,1366.09,1406.61,1333.27,24401.0,264691.0,-0.8,61.86,4.66,786.3,0.29,13.27
2000-03-30,1370.15,1384.85,1407.97,1349.44,22417.0,258959.0,1.37,62.85,4.88,797.1,0.29,12.88
2000-03-31,1385.42,1375.7,1411.6,1349.63,22450.0,259866.0,-0.66,62.19,4.83,791.83,0.29,12.88
2000-04-03,1380.24,1379.91,1421.44,1355.7,27523.0,316815.0,0.31,62.84,4.83,812.58,0.29,13.01
2000-04-04,1374.22,1356.99,1395.08,1334.85,20165.0,233049.0,-1.66,61.93,4.75,799.08,0.29,13.04
2000-04-05,1350.86,1375.83,1397.54,1335.07,17777.0,207388.0,1.39,62.71,4.82,810.18,0.29,13.01
2000-04-06,1384.43,1429.48,1440.31,1371.21,30841.0,366979.0,3.9,65.28,5.05,841.77,0.28,12.93
2000-04-07,1444.5,1431.03,1472.99,1407.4,35375.0,417631.0,0.11,65.42,5.04,842.68,0.28,12.98
2000-04-10,1436.85,1438.1,1469.78,1408.16,24280.0,292430.0,0.49,65.33,5.04,846.85,0.28,12.96
2000-04-11,1439.44,1419.2,1461.73,1398.27,21825.0,263120.0,-1.31,64.52,4.99,835.72,0.28,12.93
2000-04-12,1419.42,1409.77,1446.23,1382.44,18438.0,223411.0,-0.66,63.75,4.95,830.17,0.28,12.88
