,created_at,text,attitudes_count,comments_count,reposts_count,scheme
12,2018-04-06 12:47:22,回复<a href='https://m.weibo.cn/n/直发感人'>@直发感人</a>:芒格说，我们人类有一种可怕的思想关闭机制，有些思想偏执、顽固的头脑，直到他们进入坟墓也不会改变了。关于中医药，我之前也曾经半信半疑，但是很多我亲身经历和目睹的事实教育了我，并且经过研读的有关中医的著作而略知一二。所谓道不同不相谋，不认同的人最好的办法是不谈，不辩。,26.0,14.0,13.0,https://m.weibo.cn/status/GaOSXp2zU?mblogid=GaOSXp2zU&luicode=10000011&lfid=1076031254381361
13,2018-04-06 06:48:32,👍//<a href='https://m.weibo.cn/n/胡小平-tiger'>@胡小平-tiger</a>:ROE长期20%以上，千年品牌，估值最便宜的中药企业，市值400亿，看还能低估多久…,23.0,4.0,25.0,https://m.weibo.cn/status/GaMxjcJL4?mblogid=GaMxjcJL4&luicode=10000011&lfid=1076031254381361
14,2018-04-06 06:47:43,转发微博,8.0,2.0,3.0,https://m.weibo.cn/status/GaMwZ8T29?mblogid=GaMwZ8T29&luicode=10000011&lfid=1076031254381361
15,2018-04-06 06:46:37,转发微博,8.0,1.0,4.0,https://m.weibo.cn/status/GaMwx1oFK?mblogid=GaMwx1oFK&luicode=10000011&lfid=1076031254381361
16,2018-04-06 06:46:14,"//<a href='https://m.weibo.cn/n/李老农5931261920'>@李老农5931261920</a>:回复<a href='https://m.weibo.cn/n/汨子'>@汨子</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-55854d01bb.png"" style=""width:1em;height:1em;"" alt=""[good]""></span>宁德时代如能批量生产密度270WH/KG就已经是超级厉害了，毛豆S-X如今用的松下18650也才将将250wh/kg。",6.0,0.0,11.0,https://m.weibo.cn/status/GaMwnhxLm?mblogid=GaMwnhxLm&luicode=10000011&lfid=1076031254381361
17,2018-04-06 06:44:27,转发微博,4.0,0.0,2.0,https://m.weibo.cn/status/GaMvEmGjH?mblogid=GaMvEmGjH&luicode=10000011&lfid=1076031254381361
18,2018-04-05 22:01:21,"作为食品药品保健品企业，品牌口碑比什么都重要。作为小股东，坚持支持勇敢地拿起法律武器，并让那些无良知的媒体、机构曝光，使其成为过街老鼠！<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_quantou-ba097f8ec2.png"" style=""width:1em;height:1em;"" alt=""[拳头]""></span>",32.0,5.0,27.0,https://m.weibo.cn/status/GaJ5kekNj?mblogid=GaJ5kekNj&luicode=10000011&lfid=1076031254381361
19,2018-04-05 21:51:14,"<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zan-6e88e6f51d.png"" style=""width:1em;height:1em;"" alt=""[赞]""></span>",27.0,2.0,43.0,https://m.weibo.cn/status/GaJ1e4sMv?mblogid=GaJ1e4sMv&luicode=10000011&lfid=1076031254381361
20,2018-04-05 21:43:23,"回复<a href='https://m.weibo.cn/n/股市人生39793'>@股市人生39793</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/l_xin-8e9a1a0346.png"" style=""width:1em;height:1em;"" alt=""[心]""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em;height:1em;"" alt=""[握手]""></span>//<a href='https://m.weibo.cn/n/股市人生39793'>@股市人生39793</a>:闲大老师是我人生投资道路上的精神导师。//<a href='https://m.weibo.cn/n/闲来一坐s话投资'>@闲来一坐s话投资</a>:好的公司，有时在不读年报之时其实就定了，比如，我说过的，不可救药地侵入消费者心智的品牌，这样的公司再读一下年报，只是印证一下而已。",13.0,2.0,11.0,https://m.weibo.cn/status/GaIY2nRLN?mblogid=GaIY2nRLN&luicode=10000011&lfid=1076031254381361
21,2018-04-05 20:59:06,"发表了博文《芒格答83问：选择王传福而看不上马斯克的理由》全文内容，见雪球聪明的投资者链接地址：<a data-url=""http://t.cn/RnlXX9d"" href=""https://xueqiu.com/4406747817/103945129"" data-hide=""""><span class=""url-icon""><img src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></span></i><span class=""surl-text"">聪明投资者: 芒格答83问：选择王传福而看不上马斯克的理由</a>前言：“在金融界，很多大钱<a data-url=""http://t.cn/Rm2WLBj"" href=""http://blog.sina.com.cn/s/blog_4ac457310102xgkr.html?ref=weibocard"" data-hide=""""><span class=""url-icon""><img src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_article_default.png""></span></i><span class=""surl-text"">芒格答83问：选择王传福而看不上马斯克的理由</a> ​",19.0,2.0,82.0,https://m.weibo.cn/status/GaIG3t78l?mblogid=GaIG3t78l&luicode=10000011&lfid=1076031254381361
22,2018-04-05 18:32:40,"好的公司，有时在不读年报之时其实就定了，比如，我说过的，不可救药地侵入消费者心智的品牌，这样的公司再读一下年报，只是印证一下而已。再说一遍，凡是好的投资标的，均是不需要费劲心力去读它年报的公司，因为所有的投资都是常识性的问题。<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xixi-ce63ce2629.png"" style=""width:1em;height:1em;"" alt=""[嘻嘻]""></span>",43.0,9.0,50.0,https://m.weibo.cn/status/GaHICEFjR?mblogid=GaHICEFjR&luicode=10000011&lfid=1076031254381361
23,2018-04-05 18:27:53,"回复<a href='https://m.weibo.cn/n/黄土高坡的快乐时光'>@黄土高坡的快乐时光</a>:嗯，是我说过的话，原话是：一个将朝代都熬没了的企业，一个比美国历史都长的金字招牌！<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xixi-ce63ce2629.png"" style=""width:1em;height:1em;"" alt=""[嘻嘻]""></span>//<a href='https://m.weibo.cn/n/黄土高坡的快乐时光'>@黄土高坡的快乐时光</a>:把一个朝代熬没了的企业。<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zan-6e88e6f51d.png"" style=""width:1em;height:1em;"" alt=""[赞]""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zan-6e88e6f51d.png"" style=""width:1em;height:1em;"" alt=""[赞]""></span>",12.0,3.0,10.0,https://m.weibo.cn/status/GaHGG7j9A?mblogid=GaHGG7j9A&luicode=10000011&lfid=1076031254381361
24,2018-04-05 18:22:16,【读财报】趁着节假日浏览了几家公司的年报。关于读年报，现在我越来越懒了，所以，我更倾向于投资那些不需要太费心细抠它年报的公司，而且我也一向认为，凡是需要费心抠小数点数据的公司，就不是好的可以投资的公司。比如，有两家长期大牛股的公司年报基本上就可以不必细读，一是贵州茅台，一是同仁堂。前者，就是一个超级印钞机式的公司，只要看一看它今年新生产多少吨酒等着五年以后卖就可以了，而后者，这么多年就一直是稳定有余，而成长动能不足，如净利保持在10%的左右增长，就像是计划好了的一样。当然，对于这两者，市场先生的评价（市盈率待遇）是有很大差距的，而且同仁堂这东东就一直没有太低过。何也？是不是与公司“先活得长再说活得好”的发展理念有关呢？——一家公司永续保持增长8%，其价值就可以无限大（关键是在永续上）。这可是格雷厄姆说的，并不是我的发明。同仁堂这么多年股价如引坚挺，是不是因为正应了格氏这个“魔咒”呢？那么，再依此推之，同样可以活得足够长的茅台又当享受什么样的市场待遇呢？这真是想破脑袋的问题，于是干脆不想，任由它去吧。,57.0,16.0,107.0,https://m.weibo.cn/status/GaHEpepcN?mblogid=GaHEpepcN&luicode=10000011&lfid=1076031254381361
25,2018-04-05 12:39:18,//<a href='https://m.weibo.cn/n/马喆-mazhe'>@马喆-mazhe</a>:有点意思。,9.0,4.0,24.0,https://m.weibo.cn/status/GaFpbfr2F?mblogid=GaFpbfr2F&luicode=10000011&lfid=1076031254381361
26,2018-04-04 18:02:11,转发微博,11.0,2.0,3.0,https://m.weibo.cn/status/Gay5KpQRn?mblogid=Gay5KpQRn&luicode=10000011&lfid=1076031254381361
27,2018-04-03 17:57:35,"<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zan-6e88e6f51d.png"" style=""width:1em;height:1em;"" alt=""[赞]""></span>",34.0,4.0,19.0,https://m.weibo.cn/status/GaoDo3v6k?mblogid=GaoDo3v6k&luicode=10000011&lfid=1076031254381361
28,2018-04-02 21:01:38,"回复<a href='https://m.weibo.cn/n/我是fc_略超预期'>@我是fc_略超预期</a>//<a href='https://m.weibo.cn/n/闲来一坐s话投资'>@闲来一坐s话投资</a>:回复<a href='https://m.weibo.cn/n/帘卷西风之初'>@帘卷西风之初</a>:<a data-url=""http://t.cn/RfiGWYq"" href=""https://xueqiu.com/3867588746/77788115"" data-hide=""""><span class=""url-icon""><img src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></span></i><span class=""surl-text"">飞龙在天论道: 《【私藏篇】推荐书目与读书心得》</a> //<a href='https://m.weibo.cn/n/帘卷西风之初'>@帘卷西风之初</a>:看不到书目啊，麻烦哪位友友分享一下",12.0,7.0,14.0,https://m.weibo.cn/status/GagpB4EO3?mblogid=GagpB4EO3&luicode=10000011&lfid=1076031254381361
