,name,pe,pe_ratio,pe_state,pe_min,pe_max,pe_median,pe_mean,pe_drop,pe_q10,pe_q20,pe_q40,pe_q50,pe_q60,pe_q80,pe_q90,pb,pb_ratio,pb_state,pb_min,pb_max,pb_median,pb_mean,pb_drop,pb_q10,pb_q20,pb_q40,pb_q50,pb_q60,pb_q80,pb_q90,dyr,dyr_ratio,dyr_state,dyr_min,dyr_max,dyr_median,dyr_mean,dyr_drop,dyr_q10,dyr_q20,dyr_q40,dyr_q50,dyr_q60,dyr_q80,dyr_q90,roe,roe_ratio,roe_state,roe_min,roe_max,roe_median,roe_mean,roe_drop,roe_q10,roe_q20,roe_q40,roe_q50,roe_q60,roe_q80,roe_q90,vlt,roi,stocks,sample,start,update,aid
801880,汽车I,20.5,74.35,偏高,12.57,23.7,18.11,18.22,-38.68,14.01,15.69,17.41,18.11,19.1,20.76,22.04,1.68,43.76,合理,1.35,2.61,1.76,1.9,-19.64,1.45,1.5,1.62,1.76,2.02,2.36,2.46,1.82,33.06,偏低,1.27,3.32,2.01,2.13,-30.22,1.56,1.72,1.86,2.01,2.2,2.68,2.87,12.2,95.61,极高,8.57,12.26,9.3,9.75,-29.75,8.87,8.99,9.18,9.3,9.65,10.69,11.59,15.64,-4.7,175,729,2017-01-23,2020-01-22,3
801120,食品饮料I,31.74,52.67,合理,21.24,40.32,31.6,31.1,-33.08,25.14,28.52,31.15,31.6,32.18,33.47,35.9,6.45,84.22,较高,3.9,6.93,5.54,5.49,-39.53,4.37,4.61,5.24,5.54,5.79,6.34,6.57,1.3,20.3,偏低,0.74,2.05,1.53,1.5,-43.08,1.21,1.29,1.38,1.53,1.59,1.75,1.89,4.92,9.74,极低,4.82,7.25,5.45,5.72,-2.03,4.92,5.03,5.42,5.45,6.03,6.4,6.63,19.22,14.88,95,729,2017-01-23,2020-01-22,3
801730,电气设备I,35.15,62.14,偏高,20.32,46.39,32.44,33.55,-42.19,23.75,26.52,31.53,32.44,34.47,41.93,43.28,2.37,57.2,合理,1.52,3.43,2.2,2.35,-35.86,1.74,1.93,2.11,2.2,2.43,2.88,3.01,0.7,39.37,偏低,0.51,1.24,0.74,0.79,-27.14,0.59,0.64,0.7,0.74,0.82,0.96,1.08,14.83,78.88,偏高,12.94,16.5,14.31,14.27,-12.74,13.38,13.68,13.83,14.31,14.53,14.84,15.22,18.67,-3.69,195,729,2017-01-23,2020-01-22,3
801200,商业贸易I,14.88,6.17,极低,14.05,51.8,22.01,25.26,-5.58,15.3,16.42,17.98,22.01,26.36,34.74,36.87,1.44,17.56,较低,1.3,2.6,1.68,1.82,-9.72,1.39,1.45,1.57,1.68,1.96,2.22,2.31,1.46,81.34,较高,0.56,1.61,1.21,1.1,-61.64,0.69,0.78,0.86,1.21,1.3,1.45,1.48,10.33,4.53,极低,10.17,20.51,13.36,13.43,-1.55,10.72,10.99,11.55,13.36,13.97,15.93,16.16,16.6,-8.15,96,729,2017-01-23,2020-01-22,3
801030,化工I,22.47,56.38,合理,13.01,45.78,20.59,23.83,-42.1,14.67,17.44,19.51,20.59,25.01,30.83,32.4,1.97,42.39,合理,1.53,2.98,2.12,2.19,-22.34,1.71,1.77,1.93,2.12,2.37,2.61,2.73,1.54,52.4,合理,0.52,2.17,1.48,1.37,-66.23,0.7,0.89,1.15,1.48,1.66,1.84,1.99,11.41,72.02,偏高,8.35,15.46,10.6,10.63,-26.82,8.56,9.21,9.95,10.6,10.89,11.69,12.16,13.5,-2.88,343,729,2017-01-23,2020-01-22,3
801180,房地产I,9.61,24.83,偏低,8.09,21.65,11.4,12.93,-15.82,9.11,9.4,10.33,11.4,14.0,16.33,17.62,1.39,35.8,偏低,1.13,2.25,1.55,1.64,-18.71,1.28,1.31,1.4,1.55,1.79,1.98,2.11,2.79,69.0,偏高,1.14,3.63,2.21,2.23,-59.14,1.35,1.64,1.82,2.21,2.61,2.91,3.02,6.91,0.41,极低,6.9,9.88,7.68,7.78,-0.14,7.07,7.13,7.35,7.68,7.82,8.22,8.48,19.17,-2.83,132,729,2017-01-23,2020-01-22,3
801750,计算机I,65.39,99.59,极高,37.34,65.5,52.85,52.41,-42.9,41.42,47.33,50.89,52.85,55.08,58.61,60.12,4.31,85.19,较高,2.47,4.7,3.72,3.68,-42.69,2.82,3.22,3.61,3.72,3.83,4.2,4.41,0.31,0.0,极低,0.31,0.6,0.41,0.42,0.0,0.36,0.37,0.4,0.41,0.42,0.48,0.52,15.17,71.88,偏高,10.26,16.57,14.89,14.4,-32.37,11.47,13.65,14.68,14.89,15.09,15.53,15.76,22.28,3.3,227,729,2017-01-23,2020-01-22,3
801010,农林牧渔I,32.24,60.08,偏高,23.6,54.33,30.64,32.87,-26.8,25.52,26.01,29.09,30.64,32.21,37.96,49.51,3.6,69.14,偏高,2.33,4.14,3.38,3.31,-35.28,2.56,2.73,3.29,3.38,3.45,3.78,3.93,1.3,57.89,合理,0.7,1.88,1.24,1.23,-46.15,0.8,0.91,1.16,1.24,1.31,1.52,1.67,8.96,20.03,偏低,7.17,14.02,10.19,9.94,-19.98,7.67,8.32,9.58,10.19,10.25,10.56,13.24,25.09,0.54,85,729,2017-01-23,2020-01-22,3
801140,轻工制造I,25.27,59.81,合理,14.23,51.3,22.98,26.31,-43.69,16.34,19.14,22.08,22.98,25.28,35.4,37.46,1.83,40.05,合理,1.45,3.49,1.99,2.25,-20.77,1.61,1.67,1.82,1.99,2.42,2.96,3.05,1.01,48.01,合理,0.45,1.54,1.05,1.0,-55.45,0.57,0.71,0.8,1.05,1.13,1.32,1.42,13.81,88.48,较高,9.65,14.88,11.4,11.57,-30.12,10.08,10.14,10.56,11.4,11.92,13.37,13.83,15.6,-6.5,130,729,2017-01-23,2020-01-22,3
801710,建筑材料I,12.76,36.49,偏低,9.98,43.53,16.85,20.6,-21.79,11.0,11.46,13.07,16.85,23.28,29.86,34.82,1.88,35.67,偏低,1.5,2.9,2.08,2.14,-20.21,1.64,1.7,1.93,2.08,2.34,2.6,2.65,2.13,79.56,偏高,0.5,3.37,1.56,1.44,-76.53,0.62,0.75,0.81,1.56,1.74,2.13,2.47,6.79,37.45,偏低,6.19,16.02,8.27,9.17,-8.84,6.54,6.65,6.86,8.27,9.61,12.28,13.24,20.66,1.95,68,729,2017-01-23,2020-01-22,3
801050,有色金属I,39.56,59.67,合理,20.95,94.35,36.13,42.95,-47.04,24.29,27.93,34.03,36.13,39.93,58.14,70.93,2.15,41.98,合理,1.69,3.83,2.24,2.5,-21.4,1.84,1.96,2.12,2.24,2.71,3.11,3.26,0.63,49.93,合理,0.22,1.25,0.63,0.66,-65.08,0.31,0.33,0.39,0.63,0.76,1.06,1.11,18.4,73.94,偏高,11.99,30.68,16.13,16.75,-34.84,12.56,13.29,14.89,16.13,16.92,19.47,20.21,24.79,-2.78,119,729,2017-01-23,2020-01-22,3
801160,公用事业I,18.88,6.58,极低,17.7,30.21,22.84,23.25,-6.25,19.25,19.82,20.92,22.84,24.18,27.01,27.92,1.41,6.04,极低,1.35,2.45,1.69,1.8,-4.26,1.42,1.48,1.57,1.69,1.85,2.21,2.29,1.86,82.85,较高,1.07,2.35,1.6,1.64,-42.47,1.43,1.48,1.57,1.6,1.67,1.83,1.89,13.39,57.2,合理,10.43,14.03,13.32,13.03,-22.11,11.75,12.56,13.23,13.32,13.4,13.66,13.77,11.02,-7.3,166,729,2017-01-23,2020-01-22,3
801770,通信I,39.98,34.29,偏低,31.31,66.73,42.89,46.94,-21.69,35.0,37.14,40.92,42.89,46.21,60.71,63.12,2.85,54.6,合理,1.95,3.75,2.79,2.84,-31.58,2.24,2.41,2.67,2.79,2.93,3.27,3.46,0.43,45.13,合理,0.28,0.57,0.44,0.42,-34.88,0.31,0.32,0.39,0.44,0.46,0.49,0.5,14.03,8.23,极低,13.13,20.57,16.0,16.44,-6.41,14.07,14.47,15.7,16.0,16.68,18.98,19.3,21.28,-2.32,106,729,2017-01-23,2020-01-22,3
801780,银行I,6.89,47.19,合理,5.85,8.78,6.91,6.93,-15.09,6.33,6.53,6.8,6.91,7.0,7.33,7.49,0.8,18.11,较低,0.72,1.13,0.87,0.88,-10.0,0.78,0.8,0.84,0.87,0.89,0.96,1.0,3.34,40.47,合理,2.68,5.56,3.43,3.44,-19.76,2.94,3.02,3.33,3.43,3.49,3.78,3.93,8.61,91.22,极高,6.99,8.99,7.87,7.9,-18.82,7.36,7.52,7.75,7.87,8.03,8.24,8.51,11.94,2.51,36,729,2017-01-23,2020-01-22,3
801890,机械设备I,27.37,28.4,偏低,23.47,77.04,31.77,39.85,-14.25,24.84,26.39,28.7,31.77,41.75,55.43,60.29,2.11,46.5,合理,1.6,3.27,2.17,2.32,-24.17,1.8,1.91,2.03,2.17,2.37,2.85,2.95,0.91,56.38,合理,0.34,1.32,0.81,0.81,-62.64,0.5,0.59,0.69,0.81,0.93,1.02,1.05,12.97,8.37,极低,12.78,24.86,15.82,16.59,-1.46,12.98,13.99,14.18,15.82,17.27,19.85,20.88,14.85,-5.4,352,729,2017-01-23,2020-01-22,3
801130,纺织服装I,25.44,28.64,偏低,13.14,98.33,32.79,34.74,-48.35,21.23,23.42,29.59,32.79,36.48,43.19,52.63,1.83,16.51,较低,1.14,6.32,2.73,2.91,-37.7,1.69,1.88,2.4,2.73,3.11,3.65,4.72,1.65,80.8,较高,0.08,4.86,1.07,1.12,-95.15,0.5,0.67,0.93,1.07,1.24,1.63,1.8,13.9,75.71,偏高,8.36,24.83,11.87,12.28,-39.86,9.8,10.34,11.43,11.87,12.28,14.38,15.35,17.29,-3.83,83,9325,1999-12-30,2020-01-22,0
801720,建筑装饰I,9.62,7.37,极低,8.85,33.6,16.55,16.06,-8.0,9.9,10.51,15.28,16.55,17.26,19.3,21.51,1.01,2.91,极低,0.91,3.89,1.79,1.79,-9.9,1.16,1.27,1.65,1.79,1.88,2.13,2.39,1.82,88.04,较高,0.54,11.78,1.15,1.3,-70.33,0.93,1.02,1.09,1.15,1.22,1.71,1.83,9.52,71.82,偏高,7.55,10.11,9.18,8.97,-20.69,7.79,7.98,9.09,9.18,9.22,9.59,9.71,15.22,-4.82,128,2509,2014-02-21,2020-01-22,0
801150,医药生物I,38.78,47.58,合理,20.65,99.42,39.39,42.2,-46.75,28.54,32.85,37.5,39.39,42.03,50.19,60.11,3.64,28.84,偏低,1.6,8.35,4.17,4.18,-56.04,2.3,3.16,3.99,4.17,4.35,5.38,5.88,0.64,44.5,合理,0.19,3.27,0.66,0.68,-70.31,0.31,0.48,0.61,0.66,0.71,0.87,1.03,10.65,59.06,合理,6.49,17.08,9.71,10.42,-39.06,8.08,8.62,9.18,9.71,10.7,12.56,13.32,17.34,6.47,321,9325,1999-12-30,2020-01-22,0
801110,家用电器I,17.35,31.56,偏低,10.55,89.5,20.99,25.76,-39.19,13.32,14.95,19.21,20.99,25.1,36.17,42.45,3.41,73.68,偏高,0.95,5.34,2.68,2.73,-72.14,1.44,1.91,2.38,2.68,3.07,3.6,3.9,2.24,82.38,较高,0.29,4.01,1.05,1.36,-87.05,0.48,0.67,0.92,1.05,1.52,2.16,2.51,5.09,9.03,极低,4.67,27.56,7.21,10.49,-8.25,5.1,5.41,6.56,7.21,9.26,16.92,19.8,19.01,14.57,59,4848,1999-12-30,2020-01-22,0
801080,电子I,49.66,48.74,合理,21.67,118.1,50.37,51.53,-56.36,30.88,35.4,44.47,50.37,54.85,65.24,73.87,4.01,72.65,偏高,1.31,7.28,3.37,3.55,-67.33,2.11,2.57,3.14,3.37,3.63,4.36,5.13,0.47,37.19,偏低,0.16,3.8,0.57,0.63,-65.96,0.3,0.34,0.49,0.57,0.66,0.85,0.99,12.38,23.7,偏低,8.07,34.35,14.87,15.05,-34.81,9.77,11.59,14.01,14.87,15.76,17.95,19.65,27.27,12.84,257,4848,1999-12-30,2020-01-22,0
801760,传媒I,44.04,46.46,合理,19.49,141.84,45.84,47.85,-55.74,25.97,31.89,38.44,45.84,50.59,57.05,72.83,2.52,26.25,偏低,1.7,11.48,3.94,4.22,-32.54,2.08,2.25,3.32,3.94,4.75,5.43,6.94,0.64,71.81,偏高,0.13,1.03,0.44,0.51,-79.69,0.26,0.3,0.39,0.44,0.57,0.75,0.86,17.48,99.79,极高,9.53,17.48,11.43,11.75,-45.48,10.0,10.51,11.29,11.43,11.61,12.2,14.95,25.43,-9.04,168,1440,2014-02-21,2020-01-22,0
801740,国防军工I,61.25,16.39,较低,53.17,245.82,95.22,105.33,-13.19,57.95,63.35,76.35,95.22,108.95,143.91,167.47,2.53,28.06,偏低,1.86,8.38,3.21,3.38,-26.48,2.22,2.41,2.78,3.21,3.61,4.02,4.86,0.31,79.58,偏高,0.07,0.52,0.23,0.25,-77.42,0.18,0.19,0.21,0.23,0.26,0.31,0.33,24.21,7.92,极低,23.28,45.38,28.32,30.48,-3.84,24.44,26.47,27.96,28.32,29.27,35.31,37.65,18.34,-5.65,68,1440,2014-02-21,2020-01-22,0
801210,休闲服务I,32.49,15.2,较低,24.92,125.34,52.37,55.39,-23.3,30.85,34.3,45.55,52.37,57.81,71.23,89.97,3.48,31.93,偏低,1.58,10.46,3.83,4.26,-54.6,2.65,3.05,3.63,3.83,4.16,4.99,7.04,0.7,65.88,偏高,0.05,1.69,0.6,0.6,-92.86,0.33,0.4,0.51,0.6,0.67,0.78,0.87,9.34,6.52,极低,8.5,28.62,12.75,13.08,-8.99,10.3,11.18,12.53,12.75,13.08,14.08,15.81,22.92,6.23,33,4848,1999-12-30,2020-01-22,0
801040,钢铁I,9.44,19.8,较低,4.67,153.73,22.25,31.75,-50.53,7.34,9.49,20.21,22.25,24.18,33.68,80.68,0.9,7.92,极低,0.72,4.74,1.55,1.72,-20.0,0.92,1.09,1.41,1.55,1.71,2.22,3.05,4.32,90.86,极高,0.21,6.46,1.72,1.99,-95.14,0.64,0.9,1.39,1.72,2.01,2.85,4.1,10.49,52.66,合理,4.64,99.57,10.04,20.47,-55.77,5.92,6.87,9.37,10.04,13.64,32.34,43.69,16.31,-5.28,32,4848,1999-12-30,2020-01-22,0
801170,交通运输I,16.92,22.07,偏低,9.95,58.62,23.28,26.21,-41.19,14.82,16.57,21.0,23.28,25.29,35.25,43.94,1.41,13.26,较低,1.09,6.64,2.26,2.49,-22.7,1.35,1.52,1.98,2.26,2.48,3.14,4.29,1.61,69.14,偏高,0.18,3.91,1.27,1.36,-88.82,0.65,0.91,1.16,1.27,1.37,1.85,2.2,12.0,76.82,偏高,5.94,14.42,11.02,10.69,-50.5,8.6,9.21,10.57,11.02,11.28,12.1,12.52,12.93,-3.26,116,4848,1999-12-30,2020-01-22,0
801230,综合I,33.61,18.89,较低,20.71,175.23,51.09,55.75,-38.38,28.77,35.25,47.11,51.09,57.05,73.43,85.61,1.91,15.47,较低,1.12,7.91,3.33,3.45,-41.36,1.65,2.12,2.88,3.33,3.75,4.49,5.46,0.31,58.56,合理,0.07,1.4,0.27,0.3,-77.42,0.13,0.18,0.24,0.27,0.31,0.4,0.52,17.6,52.04,合理,8.38,29.28,17.44,17.02,-52.39,10.46,11.47,15.82,17.44,18.72,20.76,24.54,15.58,-2.39,35,4848,1999-12-30,2020-01-22,0
801020,采掘I,12.83,9.69,极低,8.11,88.01,21.73,27.16,-36.79,12.88,14.87,18.58,21.73,27.16,37.47,50.25,1.12,1.2,极低,1.03,11.59,2.46,2.92,-8.04,1.33,1.59,2.06,2.46,2.73,4.0,5.41,2.43,87.29,较高,0.13,5.97,1.46,1.49,-94.65,0.35,0.79,1.25,1.46,1.65,2.14,2.57,11.46,74.69,偏高,4.34,49.27,8.79,11.06,-62.13,5.48,5.99,7.14,8.79,10.17,11.89,17.97,15.03,-7.69,66,4848,1999-12-30,2020-01-22,0
801790,非银金融I,15.72,26.74,偏低,10.8,38.08,17.39,18.72,-31.3,13.49,14.93,17.0,17.39,18.06,21.61,24.36,1.9,44.31,合理,1.43,4.18,1.92,2.06,-24.74,1.62,1.73,1.87,1.92,1.97,2.13,2.84,1.44,42.99,合理,0.41,2.65,1.48,1.49,-71.53,0.66,1.18,1.41,1.48,1.55,1.94,2.17,8.27,20.83,偏低,6.2,11.61,9.5,9.13,-25.03,6.54,8.26,9.13,9.5,9.75,10.32,10.43,21.21,-1.51,79,1440,2014-02-21,2020-01-22,0
801880,汽车I,20.5,55.14,合理,12.57,36.25,19.93,20.0,-38.68,14.7,16.34,18.15,19.93,20.96,23.38,24.73,1.68,22.15,偏低,1.35,4.45,2.34,2.25,-19.64,1.5,1.62,2.14,2.34,2.42,2.61,2.95,1.82,64.38,偏高,0.81,3.32,1.66,1.79,-55.49,1.23,1.41,1.58,1.66,1.76,2.21,2.68,12.2,97.71,极高,7.04,12.26,9.05,9.04,-42.3,7.37,8.17,8.92,9.05,9.15,9.66,10.7,15.64,-0.84,175,1440,2014-02-21,2020-01-22,0
801120,食品饮料I,31.74,44.76,合理,16.55,100.95,32.86,35.84,-47.86,21.63,25.73,30.61,32.86,36.69,43.85,50.22,6.45,78.98,偏高,2.04,11.64,4.51,4.9,-68.37,2.69,3.38,4.11,4.51,5.03,6.51,7.5,1.3,60.62,偏高,0.28,2.66,1.01,1.12,-78.46,0.55,0.65,0.81,1.01,1.29,1.58,1.84,4.92,12.77,较低,4.24,15.66,6.9,7.87,-13.82,4.81,5.11,6.4,6.9,7.94,10.56,12.46,19.22,22.45,95,4848,1999-12-30,2020-01-22,0
801730,电气设备I,35.15,32.36,偏低,20.32,99.99,42.14,41.21,-42.19,26.51,31.48,38.17,42.14,43.23,46.38,53.92,2.37,28.96,偏低,1.52,7.28,2.95,3.04,-35.86,1.93,2.1,2.77,2.95,3.27,3.62,4.39,0.7,58.19,合理,0.26,1.24,0.66,0.7,-62.86,0.52,0.58,0.64,0.66,0.7,0.82,0.96,14.83,88.19,较高,11.69,16.5,13.66,13.69,-21.17,12.63,12.9,13.53,13.66,13.76,14.62,14.92,18.67,-0.52,195,1440,2014-02-21,2020-01-22,0
801200,商业贸易I,14.88,1.01,极低,14.05,96.23,35.38,37.22,-5.58,18.95,20.87,29.89,35.38,39.71,51.04,63.08,1.44,2.64,极低,1.3,8.61,2.66,3.14,-9.72,1.7,1.98,2.48,2.66,3.07,4.26,5.11,1.46,92.37,极高,0.13,5.07,0.78,0.85,-91.1,0.41,0.54,0.68,0.78,0.89,1.22,1.39,10.33,31.75,偏低,7.22,20.64,11.57,12.16,-30.11,8.24,9.5,10.86,11.57,12.76,15.0,17.14,16.6,-4.87,96,4848,1999-12-30,2020-01-22,0
801030,化工I,22.47,24.98,偏低,12.49,76.55,31.07,34.01,-44.41,18.23,20.79,27.14,31.07,35.71,46.91,54.48,1.97,12.85,较低,1.42,6.77,2.66,2.89,-27.92,1.86,2.13,2.48,2.66,2.88,3.55,4.26,1.54,87.6,较高,0.27,2.43,0.82,0.92,-82.47,0.4,0.56,0.72,0.82,0.93,1.21,1.65,11.41,49.11,合理,6.49,19.96,11.58,11.75,-43.12,7.75,8.93,10.77,11.58,12.43,14.38,15.43,13.5,2.52,343,4848,1999-12-30,2020-01-22,0
801180,房地产I,9.61,3.73,极低,8.09,120.03,23.76,32.52,-15.82,11.28,14.44,21.11,23.76,30.51,54.94,65.27,1.39,5.9,极低,1.13,10.08,2.33,2.8,-18.71,1.51,1.76,2.13,2.33,2.6,3.71,4.87,2.79,95.09,极高,0.2,3.63,0.78,1.02,-92.83,0.39,0.46,0.67,0.78,0.98,1.45,1.92,6.91,0.06,极低,6.9,22.58,9.77,11.07,-0.14,7.25,7.69,9.26,9.77,11.02,14.28,16.5,19.17,-0.04,132,4848,1999-12-30,2020-01-22,0
801750,计算机I,65.39,77.64,偏高,37.34,159.7,56.72,61.88,-42.9,46.36,48.74,54.0,56.72,58.86,69.19,92.81,4.31,44.51,合理,2.47,15.76,4.48,5.23,-42.69,3.22,3.6,4.14,4.48,5.07,6.32,8.7,0.31,13.06,较低,0.18,0.69,0.39,0.4,-41.94,0.28,0.35,0.38,0.39,0.41,0.48,0.53,15.17,85.69,较高,9.15,16.57,11.37,12.47,-39.68,10.1,10.39,10.82,11.37,13.73,15.09,15.54,22.28,5.76,227,1440,2014-02-21,2020-01-22,0
801010,农林牧渔I,32.24,21.35,偏低,22.05,156.98,48.48,51.27,-31.61,27.02,31.66,43.78,48.48,53.29,64.72,75.29,3.6,52.7,合理,1.11,8.11,3.5,3.7,-69.17,1.8,2.59,3.21,3.5,3.84,4.97,5.81,1.3,93.19,极高,0.14,1.88,0.55,0.65,-89.23,0.27,0.35,0.49,0.55,0.66,0.91,1.13,8.96,5.47,极低,7.1,29.53,14.12,14.48,-20.76,9.41,10.39,13.32,14.12,15.39,18.18,19.7,25.09,6.79,85,4848,1999-12-30,2020-01-22,0
801140,轻工制造I,25.27,22.67,偏低,14.0,113.29,37.6,38.74,-44.6,19.65,24.04,34.21,37.6,42.08,50.96,55.84,1.83,22.19,偏低,1.12,6.39,2.6,2.74,-38.8,1.59,1.77,2.31,2.6,2.87,3.51,4.36,1.01,72.85,偏高,0.09,3.14,0.79,0.81,-91.09,0.41,0.51,0.72,0.79,0.86,1.11,1.28,13.81,49.4,合理,9.65,24.63,13.84,14.3,-30.12,10.63,11.82,13.39,13.84,14.57,16.77,17.77,15.6,0.73,130,4848,1999-12-30,2020-01-22,0
801710,建筑材料I,12.76,18.47,较低,9.98,50.69,25.56,25.42,-21.79,11.44,13.04,18.97,25.56,29.75,38.02,40.78,1.88,27.92,偏低,1.5,4.09,2.19,2.21,-20.21,1.64,1.75,2.05,2.19,2.36,2.59,2.68,2.13,89.24,较高,0.5,3.37,1.1,1.24,-76.53,0.64,0.75,1.0,1.1,1.24,1.76,2.14,6.79,18.96,较低,6.19,17.77,10.34,11.14,-8.84,6.65,6.83,9.34,10.34,12.13,15.58,16.73,20.66,6.88,68,1440,2014-02-21,2020-01-22,0
801050,有色金属I,39.56,45.05,合理,12.89,140.31,42.16,47.31,-67.42,19.92,28.27,37.44,42.16,46.74,60.2,89.05,2.15,15.33,较低,1.36,13.68,3.19,3.64,-36.74,1.99,2.32,2.93,3.19,3.45,4.99,5.63,0.63,46.06,合理,0.18,3.44,0.7,0.75,-71.43,0.33,0.39,0.56,0.7,0.78,1.05,1.16,18.4,82.47,较高,4.45,35.55,12.66,13.81,-75.82,6.91,8.93,10.59,12.66,14.11,17.99,22.23,24.79,-2.34,119,4848,1999-12-30,2020-01-22,0
801160,公用事业I,18.88,10.38,较低,13.78,74.38,26.83,29.25,-27.01,18.83,20.21,24.03,26.83,29.74,37.49,44.45,1.41,0.91,极低,1.35,5.86,2.35,2.64,-4.26,1.7,1.85,2.2,2.35,2.62,3.28,4.29,1.86,86.16,较高,0.55,5.41,1.48,1.47,-70.43,0.77,1.03,1.36,1.48,1.56,1.74,1.95,13.39,84.53,较高,7.46,24.11,10.97,11.39,-44.29,8.28,9.19,10.34,10.97,11.53,13.13,13.74,11.02,-6.94,166,4848,1999-12-30,2020-01-22,0
801770,通信I,39.98,27.36,偏低,29.15,95.06,45.95,48.13,-27.09,35.24,38.45,43.03,45.95,48.8,60.01,63.28,2.85,40.0,合理,1.95,6.6,3.11,3.19,-31.58,2.32,2.49,2.85,3.11,3.32,3.77,4.15,0.43,38.33,偏低,0.15,0.84,0.44,0.43,-65.12,0.31,0.35,0.43,0.44,0.46,0.49,0.51,14.03,34.72,偏低,12.61,20.57,14.5,15.22,-10.12,13.15,13.57,14.19,14.5,15.3,16.74,18.99,21.28,2.51,106,1440,2014-02-21,2020-01-22,0
801780,银行I,6.89,61.04,偏高,4.5,8.78,6.71,6.6,-34.69,4.86,6.28,6.59,6.71,6.86,7.21,7.49,0.8,9.17,极低,0.72,1.46,0.93,0.95,-10.0,0.8,0.84,0.9,0.93,0.95,1.04,1.16,3.34,27.01,偏低,2.31,5.91,3.6,3.69,-30.84,2.96,3.23,3.49,3.6,3.75,4.09,4.64,8.61,95.49,极高,5.11,8.99,7.33,7.02,-40.65,5.38,5.85,6.83,7.33,7.52,8.03,8.24,11.94,2.51,36,1440,2014-02-21,2020-01-22,0
801890,机械设备I,27.37,14.93,较低,23.47,136.07,47.29,50.82,-14.25,26.34,28.03,38.7,47.29,57.63,72.18,79.51,2.11,27.64,偏低,1.6,6.21,2.74,2.74,-24.17,1.91,2.0,2.4,2.74,2.89,3.18,3.74,0.91,68.26,偏高,0.26,1.32,0.65,0.72,-71.43,0.42,0.48,0.6,0.65,0.77,1.01,1.09,12.97,4.24,极低,12.78,24.86,17.27,17.81,-1.46,13.9,14.1,15.78,17.27,18.62,21.78,22.74,14.85,-3.53,352,1440,2014-02-21,2020-01-22,0
