,name,pe,pe_ratio,pe_state,pe_min,pe_max,pe_median,pe_mean,pe_drop,pe_q10,pe_q20,pe_q40,pe_q50,pe_q60,pe_q80,pe_q90,pb,pb_ratio,pb_state,pb_min,pb_max,pb_median,pb_mean,pb_drop,pb_q10,pb_q20,pb_q40,pb_q50,pb_q60,pb_q80,pb_q90,dyr,dyr_ratio,dyr_state,dyr_min,dyr_max,dyr_median,dyr_mean,dyr_drop,dyr_q10,dyr_q20,dyr_q40,dyr_q50,dyr_q60,dyr_q80,dyr_q90,roe,roe_ratio,roe_state,roe_min,roe_max,roe_median,roe_mean,roe_drop,roe_q10,roe_q20,roe_q40,roe_q50,roe_q60,roe_q80,roe_q90,vlt,roi,stocks,sample,start,update,aid
801210,休闲服务I,32.49,17.82,较低,24.92,108.19,43.2,47.88,-23.3,29.9,33.09,40.71,43.2,49.39,61.1,72.11,3.48,16.17,较低,2.68,8.2,3.9,4.22,-22.99,3.25,3.54,3.79,3.9,4.35,4.82,5.56,0.7,69.8,偏高,0.14,1.01,0.63,0.56,-80.0,0.32,0.38,0.45,0.63,0.67,0.73,0.8,9.34,26.07,偏低,8.5,14.59,11.08,11.09,-8.99,9.12,9.25,10.95,11.08,11.49,12.95,13.23,22.92,6.23,33,1212,2015-01-23,2020-01-22,5
801040,钢铁I,9.44,26.4,偏低,5.69,143.8,23.91,49.23,-39.72,7.02,7.57,16.09,23.91,61.05,94.83,125.69,0.9,2.64,极低,0.83,2.79,1.45,1.46,-7.78,0.99,1.12,1.38,1.45,1.52,1.74,1.86,4.32,91.83,极高,0.21,5.41,0.89,1.57,-95.14,0.27,0.35,0.72,0.89,0.96,3.0,4.18,10.49,40.92,合理,5.77,99.57,14.81,32.07,-45.0,6.1,7.14,9.78,14.81,34.53,49.93,87.47,16.31,-5.28,32,1212,2015-01-23,2020-01-22,5
801170,交通运输I,16.92,12.79,较低,14.35,43.29,21.77,22.15,-15.19,16.61,17.61,20.64,21.77,23.09,24.76,27.81,1.41,10.81,较低,1.26,3.97,1.86,1.9,-10.64,1.39,1.47,1.81,1.86,1.9,2.05,2.6,1.61,75.5,偏高,0.74,2.13,1.32,1.37,-54.04,1.05,1.2,1.28,1.32,1.37,1.64,1.78,12.0,53.63,合理,9.98,13.35,11.91,11.76,-16.83,10.63,10.76,11.4,11.91,12.09,12.65,12.77,12.93,-3.26,116,1212,2015-01-23,2020-01-22,5
801230,综合I,33.61,28.55,偏低,23.11,120.55,51.88,55.47,-31.24,26.87,29.32,47.62,51.88,67.65,78.35,84.71,1.91,32.67,偏低,1.12,7.75,2.82,3.12,-41.36,1.45,1.64,2.36,2.82,3.84,4.39,5.03,0.31,48.6,合理,0.11,0.91,0.33,0.39,-64.52,0.2,0.22,0.26,0.33,0.44,0.59,0.71,17.6,39.93,偏低,13.79,21.81,18.13,18.23,-21.65,15.84,16.42,17.6,18.13,18.84,20.24,20.64,15.58,-2.39,35,1212,2015-01-23,2020-01-22,5
801020,采掘I,12.83,5.45,极低,11.87,88.01,26.43,34.41,-7.48,13.16,14.0,18.99,26.43,35.99,57.13,76.78,1.12,4.79,极低,1.03,3.04,1.59,1.56,-8.04,1.15,1.23,1.51,1.59,1.65,1.78,1.87,2.43,92.82,极高,0.32,4.1,1.75,1.53,-86.83,0.55,0.61,1.13,1.75,1.97,2.18,2.33,11.46,18.73,较低,11.18,49.27,14.86,21.01,-2.44,11.37,11.47,12.42,14.86,17.97,32.88,44.5,15.03,-7.69,66,1212,2015-01-23,2020-01-22,5
801790,非银金融I,15.72,31.77,偏低,10.8,38.08,17.24,18.44,-31.3,13.22,14.6,16.67,17.24,17.84,21.69,23.48,1.9,38.94,偏低,1.43,4.18,1.94,2.07,-24.74,1.61,1.78,1.9,1.94,1.98,2.13,2.63,1.44,33.91,偏低,0.41,2.65,1.53,1.55,-71.53,0.78,1.24,1.47,1.53,1.63,1.97,2.19,8.27,24.75,偏低,6.2,11.61,9.26,8.94,-25.03,6.44,7.52,8.93,9.26,9.55,10.29,10.39,21.21,-1.51,79,1212,2015-01-23,2020-01-22,5
801880,汽车I,20.5,46.7,合理,12.57,36.25,20.73,20.66,-38.68,14.97,16.66,19.83,20.73,21.88,23.62,25.76,1.68,26.32,偏低,1.35,4.45,2.36,2.26,-19.64,1.48,1.56,2.2,2.36,2.47,2.64,3.05,1.82,58.42,合理,0.81,3.32,1.72,1.84,-55.49,1.22,1.39,1.63,1.72,1.83,2.31,2.72,12.2,97.28,极高,7.32,12.26,9.14,9.33,-40.0,8.19,8.79,9.05,9.14,9.22,9.69,10.76,15.64,-0.84,175,1212,2015-01-23,2020-01-22,5
801120,食品饮料I,31.74,66.67,偏高,21.24,40.67,30.18,30.17,-33.08,25.34,26.98,29.23,30.18,31.27,32.84,34.78,6.45,90.51,极高,3.32,6.93,4.71,4.96,-48.53,3.8,4.11,4.46,4.71,5.15,5.92,6.43,1.3,14.03,较低,0.74,2.19,1.57,1.54,-43.08,1.24,1.33,1.51,1.57,1.63,1.73,1.84,4.92,5.86,极低,4.82,7.38,6.43,6.19,-2.03,4.96,5.32,6.04,6.43,6.7,6.9,7.05,19.22,22.45,95,1212,2015-01-23,2020-01-22,5
801730,电气设备I,35.15,37.38,偏低,20.32,99.99,42.05,41.22,-42.19,25.11,30.66,37.07,42.05,43.32,47.25,56.38,2.37,34.41,偏低,1.52,7.28,2.92,3.05,-35.86,1.83,2.05,2.56,2.92,3.35,3.72,4.58,0.7,59.98,合理,0.26,1.24,0.66,0.7,-62.86,0.5,0.57,0.64,0.66,0.69,0.83,1.02,14.83,87.21,较高,11.69,16.5,13.72,13.7,-21.17,12.54,12.78,13.53,13.72,13.79,14.67,14.96,18.67,-0.52,195,1212,2015-01-23,2020-01-22,5
801200,商业贸易I,14.88,3.71,极低,14.05,71.38,33.86,32.85,-5.58,15.98,17.42,29.24,33.86,36.41,45.14,50.04,1.44,10.56,较低,1.3,5.51,2.25,2.31,-9.72,1.43,1.53,2.06,2.25,2.49,2.75,3.35,1.46,88.37,较高,0.39,1.61,0.83,0.95,-73.29,0.64,0.67,0.79,0.83,0.87,1.34,1.46,10.33,2.72,极低,10.17,20.64,13.17,14.01,-1.55,10.95,11.49,12.91,13.17,14.0,16.16,19.28,16.6,-4.87,96,1212,2015-01-23,2020-01-22,5
