,name,net_profit,net_assets,good_will,good_will_ratio,industry,ipo_date
300416.XSHE,苏试试验,1.7987,8.4649,0.0257,0.3035,机械设备I,2015-01-22
300750.XSHE,宁德时代,157.2343,345.2807,1.0042,0.2908,电气设备I,2018-06-11
300627.XSHE,华测导航,2.1257,8.3965,0.0225,0.2675,通信I,2017-03-21
300433.XSHE,蓝思科技,59.1346,173.3789,0.4497,0.2594,电子I,2015-03-18
300314.XSHE,戴维医疗,1.2268,8.0141,0.0205,0.256,医药生物I,2012-05-08
300438.XSHE,鹏辉能源,11.4088,22.3278,0.0566,0.2533,电子I,2015-04-24
300440.XSHE,运达科技,1.3083,13.3321,0.0335,0.2516,计算机I,2015-04-23
300526.XSHE,中潜股份,0.4517,5.4219,0.0116,0.2143,纺织服装I,2016-08-02
300106.XSHE,西部牧业,6.4872,7.4043,0.015,0.2023,农林牧渔I,2010-08-20
300605.XSHE,恒锋信息,1.5317,4.708,0.0094,0.2003,计算机I,2017-02-08
300612.XSHE,宣亚国际,0.6296,4.4704,0.008,0.1787,传媒I,2017-02-15
300067.XSHE,安诺其,2.1526,16.5668,0.0287,0.1734,化工I,2010-04-21
300080.XSHE,易成新能,-1.4279,22.7414,0.0361,0.159,机械设备I,2010-06-25
300255.XSHE,常山药业,5.4238,24.8166,0.0356,0.1433,医药生物I,2011-08-19
300563.XSHE,神宇股份,1.0011,4.7339,0.0067,0.1415,通信I,2016-11-14
300125.XSHE,易世达,0.3317,7.967,0.0092,0.1155,公用事业I,2010-10-13
300602.XSHE,飞荣达,5.1952,10.9612,0.0122,0.1116,电子I,2017-01-26
300664.XSHE,鹏鹞环保,4.3812,31.3998,0.0342,0.1088,公用事业I,2018-01-05
300556.XSHE,丝路视觉,0.8442,4.5163,0.0038,0.0833,计算机I,2016-11-04
300295.XSHE,三六五网,3.5025,12.6485,0.01,0.0791,传媒I,2012-03-15
300309.XSHE,吉艾科技,13.3908,21.0181,0.0143,0.0679,非银金融I,2012-04-10
